Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Status
MOL-001,4.0,35000,80000,3000,20000,Raw Effluent
MOL-002,4.04,36000,81600,3200,20400,Raw Effluent
MOL-003,4.08,37000,83200,3400,20800,Raw Effluent
MOL-004,4.12,38000,84800,3600,21200,Raw Effluent
MOL-005,4.16,39000,86400,3800,21600,Raw Effluent
MOL-006,4.2,40000,88000,4000,22000,Raw Effluent
MOL-007,4.24,41000,89600,4200,22400,Raw Effluent
MOL-008,4.28,42000,91200,4400,22800,Raw Effluent
MOL-009,4.32,43000,92800,4600,23200,Raw Effluent
MOL-010,4.36,44000,94400,4800,23600,Raw Effluent
MOL-011,4.0,45000,96000,5000,24000,Raw Effluent
MOL-012,4.04,46000,97600,5200,24400,Raw Effluent
MOL-013,4.08,47000,99200,5400,24800,Raw Effluent
MOL-014,4.12,48000,100800,5600,25200,Raw Effluent
MOL-015,4.16,49000,102400,5800,25600,Raw Effluent
MOL-016,4.2,50000,104000,3000,26000,Raw Effluent
MOL-017,4.24,51000,105600,3200,26400,Raw Effluent
MOL-018,4.28,52000,107200,3400,26800,Raw Effluent
MOL-019,4.32,53000,108800,3600,27200,Raw Effluent
MOL-020,4.36,54000,110400,3800,27600,Raw Effluent
MOL-021,4.0,35000,112000,4000,28000,Raw Effluent
MOL-022,4.04,36000,113600,4200,28400,Raw Effluent
MOL-023,4.08,37000,115200,4400,28800,Raw Effluent
MOL-024,4.12,38000,116800,4600,29200,Raw Effluent
MOL-025,4.16,39000,118400,4800,29600,Raw Effluent
MOL-026,4.2,40000,80000,5000,30000,Raw Effluent
MOL-027,4.24,41000,81600,5200,30400,Raw Effluent
MOL-028,4.28,42000,83200,5400,30800,Raw Effluent
MOL-029,4.32,43000,84800,5600,31200,Raw Effluent
MOL-030,4.36,44000,86400,5800,31600,Raw Effluent
MOL-031,4.0,45000,88000,3000,20000,Raw Effluent
MOL-032,4.04,46000,89600,3200,20400,Raw Effluent
MOL-033,4.08,47000,91200,3400,20800,Raw Effluent
MOL-034,4.12,48000,92800,3600,21200,Raw Effluent
MOL-035,4.16,49000,94400,3800,21600,Raw Effluent
MOL-036,4.2,50000,96000,4000,22000,Raw Effluent
MOL-037,4.24,51000,97600,4200,22400,Raw Effluent
MOL-038,4.28,52000,99200,4400,22800,Raw Effluent
MOL-039,4.32,53000,100800,4600,23200,Raw Effluent
MOL-040,4.36,54000,102400,4800,23600,Raw Effluent
MOL-041,4.0,35000,104000,5000,24000,Raw Effluent
MOL-042,4.04,36000,105600,5200,24400,Raw Effluent
MOL-043,4.08,37000,107200,5400,24800,Raw Effluent
MOL-044,4.12,38000,108800,5600,25200,Raw Effluent
MOL-045,4.16,39000,110400,5800,25600,Raw Effluent
MOL-046,4.2,40000,112000,3000,26000,Raw Effluent
