Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L)
WIN-001,3.6,6000,12000,2000,2500
WIN-002,3.64,7000,13200,2150,2700
WIN-003,3.68,8000,14400,2300,2900
WIN-004,3.72,9000,15600,2450,3100
WIN-005,3.76,10000,16800,2600,3300
WIN-006,3.8,11000,18000,2750,3500
WIN-007,3.84,12000,19200,2900,3700
WIN-008,3.88,13000,20400,3050,3900
WIN-009,3.92,14000,21600,3200,4100
WIN-010,3.96,15000,22800,3350,4300
WIN-011,3.6,16000,24000,3500,4500
WIN-012,3.64,17000,25200,3650,4700
WIN-013,3.68,18000,26400,3800,4900
WIN-014,3.72,19000,27600,3950,5100
WIN-015,3.76,20000,28800,4100,5300
WIN-016,3.8,21000,30000,2000,5500
WIN-017,3.84,22000,31200,2150,5700
WIN-018,3.88,23000,32400,2300,5900
WIN-019,3.92,24000,33600,2450,6100
WIN-020,3.96,25000,34800,2600,6300
WIN-021,3.6,6000,36000,2750,6500
WIN-022,3.64,7000,37200,2900,6700
WIN-023,3.68,8000,38400,3050,6900
WIN-024,3.72,9000,39600,3200,7100
WIN-025,3.76,10000,40800,3350,7300
WIN-026,3.8,11000,12000,3500,7500
WIN-027,3.84,12000,13200,3650,7700
WIN-028,3.88,13000,14400,3800,7900
WIN-029,3.92,14000,15600,3950,8100
WIN-030,3.96,15000,16800,4100,8300
WIN-031,3.6,16000,18000,2000,2500
WIN-032,3.64,17000,19200,2150,2700
WIN-033,3.68,18000,20400,2300,2900
WIN-034,3.72,19000,21600,2450,3100
WIN-035,3.76,20000,22800,2600,3300
WIN-036,3.8,21000,24000,2750,3500
WIN-037,3.84,22000,25200,2900,3700
WIN-038,3.88,23000,26400,3050,3900
WIN-039,3.92,24000,27600,3200,4100
WIN-040,3.96,25000,28800,3350,4300
WIN-041,3.6,6000,30000,3500,4500
WIN-042,3.64,7000,31200,3650,4700
WIN-043,3.68,8000,32400,3800,4900
WIN-044,3.72,9000,33600,3950,5100
WIN-045,3.76,10000,34800,4100,5300
WIN-046,3.8,11000,36000,2000,5500
WIN-047,3.84,12000,37200,2150,5700
WIN-048,3.88,13000,38400,2300,5900
WIN-049,3.92,14000,39600,2450,6100
WIN-050,3.96,15000,40800,2600,6300
WIN-051,3.6,16000,12000,2750,6500
WIN-052,3.64,17000,13200,2900,6700
WIN-053,3.68,18000,14400,3050,6900
WIN-054,3.72,19000,15600,3200,7100
WIN-055,3.76,20000,16800,3350,7300
WIN-056,3.8,21000,18000,3500,7500
WIN-057,3.84,22000,19200,3650,7700
WIN-058,3.88,23000,20400,3800,7900
WIN-059,3.92,24000,21600,3950,8100
WIN-060,3.96,25000,22800,4100,8300
WIN-061,3.6,6000,24000,2000,2500
WIN-062,3.64,7000,25200,2150,2700
WIN-063,3.68,8000,26400,2300,2900
WIN-064,3.72,9000,27600,2450,3100
WIN-065,3.76,10000,28800,2600,3300
WIN-066,3.8,11000,30000,2750,3500
WIN-067,3.84,12000,31200,2900,3700
WIN-068,3.88,13000,32400,3050,3900
WIN-069,3.92,14000,33600,3200,4100
WIN-070,3.96,15000,34800,3350,4300
WIN-071,3.6,16000,36000,3500,4500
WIN-072,3.64,17000,37200,3650,4700
WIN-073,3.68,18000,38400,3800,4900
WIN-074,3.72,19000,39600,3950,5100
WIN-075,3.76,20000,40800,4100,5300
WIN-076,3.8,21000,12000,2000,5500
WIN-077,3.84,22000,13200,2150,5700
WIN-078,3.88,23000,14400,2300,5900
WIN-079,3.92,24000,15600,2450,6100
WIN-080,3.96,25000,16800,2600,6300
WIN-081,3.6,6000,18000,2750,6500
WIN-082,3.64,7000,19200,2900,6700
WIN-083,3.68,8000,20400,3050,6900
WIN-084,3.72,9000,21600,3200,7100
WIN-085,3.76,10000,22800,3350,7300
WIN-086,3.8,11000,24000,3500,7500
WIN-087,3.84,12000,25200,3650,7700
WIN-088,3.88,13000,26400,3800,7900
WIN-089,3.92,14000,27600,3950,8100
WIN-090,3.96,15000,28800,4100,8300
WIN-091,3.6,16000,30000,2000,2500
WIN-092,3.64,17000,31200,2150,2700
WIN-093,3.68,18000,32400,2300,2900
WIN-094,3.72,19000,33600,2450,3100
WIN-095,3.76,20000,34800,2600,3300
WIN-096,3.8,21000,36000,2750,3500
WIN-097,3.84,22000,37200,2900,3700
WIN-098,3.88,23000,38400,3050,3900
WIN-099,3.92,24000,39600,3200,4100
WIN-100,3.96,25000,40800,3350,4300
WIN-101,3.6,6000,12000,3500,4500
