Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PULP_RECY_0001,6.56,3822.2,2181.27,3170.58,1906.69
PULP_RECY_0002,7.17,4049.79,1573.14,2218.84,1896.27
PULP_RECY_0003,8.15,5943.56,2277.65,2012.23,3138.56
PULP_RECY_0004,8.4,3646.82,1619.62,3772.73,3806.76
PULP_RECY_0005,7.73,5596.12,1977.14,3169.83,3650.69
PULP_RECY_0006,6.65,3179.62,1605.71,3917.27,2266.45
PULP_RECY_0007,6.5,4436.03,1505.72,3516.88,2236.2
PULP_RECY_0008,7.88,4562.81,2465.28,3710.54,1877.41
PULP_RECY_0009,7.39,4256.99,2339.31,2498.24,2532.13
PULP_RECY_0010,7.9,4125.22,1639.48,2999.88,3095.72
PULP_RECY_0011,7.32,4322.82,1897.51,2778.04,3795.75
PULP_RECY_0012,7.6,3523.02,1718.72,3157.91,2800.27
PULP_RECY_0013,6.64,3161.63,2077.7,2224.87,1566.17
PULP_RECY_0014,6.86,4325.66,2110.68,3150.54,2104.94
PULP_RECY_0015,6.63,4889.96,1149.61,3034.56,1622.09
PULP_RECY_0016,8.46,3808.26,1367.02,3398.06,3324.39
PULP_RECY_0017,7.29,3744.66,1354.15,3849.68,2926.53
PULP_RECY_0018,8.04,3456.95,1180.15,4497.79,3148.39
PULP_RECY_0019,8.12,4134.15,1711.96,4128.93,3574.99
PULP_RECY_0020,6.93,5167.56,1330.33,3802.1,3882.22
PULP_RECY_0021,7.78,3742.59,1396.37,4236.9,3849.26
PULP_RECY_0022,7.5,4194.78,2341.95,4222.9,3709.08
PULP_RECY_0023,7.0,5181.09,2478.01,4809.58,3826.2
PULP_RECY_0024,7.62,3263.91,1823.91,3572.8,3432.83
PULP_RECY_0025,7.85,3865.54,2173.84,3641.86,2517.16
PULP_RECY_0026,8.37,3209.23,1088.71,2333.12,3594.85
PULP_RECY_0027,7.32,4379.53,1451.66,4528.98,3679.22
PULP_RECY_0028,7.63,4593.11,2341.42,4887.15,3757.07
PULP_RECY_0029,7.42,5265.81,1666.37,3422.87,3992.6
PULP_RECY_0030,6.75,5633.01,1657.98,2852.17,2146.47
PULP_RECY_0031,6.64,3780.94,2351.97,3564.28,2453.49
PULP_RECY_0032,7.71,3666.27,1349.22,2379.91,1522.75
PULP_RECY_0033,7.47,5897.61,2172.25,4888.56,2208.37
PULP_RECY_0034,6.58,3989.18,1812.67,4937.25,1992.19
PULP_RECY_0035,7.05,3319.77,2044.46,4212.42,2900.17
PULP_RECY_0036,6.77,3205.18,1228.97,3861.2,3878.86
PULP_RECY_0037,7.58,5377.02,1410.48,2090.07,1866.9
PULP_RECY_0038,7.78,4506.4,2208.34,2128.18,2620.51
PULP_RECY_0039,6.74,5427.99,1013.23,3817.04,2474.27
PULP_RECY_0040,7.83,3590.17,1310.59,3599.58,3189.7
PULP_RECY_0041,6.59,3465.2,2362.11,2569.84,2619.39
PULP_RECY_0042,8.29,3914.27,1076.02,2009.2,2539.24
PULP_RECY_0043,7.23,3796.74,1045.92,4718.08,3527.28
PULP_RECY_0044,7.03,3280.3,1195.92,3184.83,2115.42
PULP_RECY_0045,8.1,4945.81,2437.6,2241.84,2472.08
PULP_RECY_0046,6.93,3441.14,1532.61,4855.44,3165.18
PULP_RECY_0047,7.31,4785.29,1855.65,2285.03,2141.21
PULP_RECY_0048,7.73,4759.17,2225.33,4344.58,2178.25
PULP_RECY_0049,6.61,3331.81,2032.92,2217.1,1639.57
PULP_RECY_0050,7.93,3643.74,1406.35,4027.09,3835.37
PULP_RECY_0051,6.99,5719.63,2420.83,3799.14,3931.05
PULP_RECY_0052,6.5,5128.34,1952.14,2477.58,1672.43
PULP_RECY_0053,8.28,5547.84,1960.98,2313.73,2958.61
PULP_RECY_0054,8.44,3497.26,1846.7,3158.01,2682.99
PULP_RECY_0055,7.3,5466.75,2100.98,2148.61,2346.42
PULP_RECY_0056,7.1,5934.14,1417.21,3457.36,3700.74
PULP_RECY_0057,7.03,5478.27,2409.88,2796.68,2444.02
PULP_RECY_0058,7.53,5966.82,1473.81,2851.07,2710.88
PULP_RECY_0059,8.08,3691.98,1243.7,2233.9,2246.55
PULP_RECY_0060,7.64,3881.61,1938.44,4037.2,2314.61
PULP_RECY_0061,6.82,4676.61,2319.41,2878.13,2189.75
PULP_RECY_0062,7.0,4385.73,2247.62,3613.68,3830.74
