Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Oil & Grease (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
FOOD_0001,9.15,803.87,3927.59,735.5,4243.69,361.86,31.63,3975.16,25.82,Critical
FOOD_0002,10.55,773.48,1670.08,679.29,5321.86,243.02,33.59,5170.36,36.78,Critical
FOOD_0003,10.51,984.49,1952.47,953.12,3313.39,293.95,27.66,2964.38,37.23,Moderate
FOOD_0004,11.84,1457.65,5372.96,2388.09,7378.18,214.31,30.14,6198.49,29.0,Critical
FOOD_0005,10.95,1925.55,6714.4,1705.66,6175.41,132.34,24.3,4960.05,34.78,Critical
FOOD_0006,11.69,878.78,2099.86,1126.2,6751.97,346.2,57.43,5744.5,27.72,Critical
FOOD_0007,10.08,1497.81,1598.2,781.42,3695.59,353.39,28.98,4706.68,36.11,Moderate
FOOD_0008,11.24,535.24,3126.31,635.25,7859.32,313.82,49.64,7656.14,24.28,Critical
FOOD_0009,10.93,1454.59,3083.2,1097.23,5085.57,61.18,14.51,5627.25,37.01,Critical
FOOD_0010,11.9,1440.61,3639.3,603.17,4055.45,330.13,48.62,4632.7,25.06,Critical
FOOD_0011,9.59,1388.02,3105.84,668.27,3155.18,274.75,40.02,3839.17,25.61,Moderate
FOOD_0012,11.05,973.97,3959.9,800.59,6109.87,177.85,5.22,7316.35,24.22,Critical
FOOD_0013,9.31,1385.32,1746.59,655.96,6585.07,320.93,20.35,5484.72,32.18,Critical
FOOD_0014,10.07,1479.65,3884.83,533.13,5884.9,96.91,45.82,7274.38,30.85,Critical
FOOD_0015,11.65,1332.64,3778.12,421.15,4826.14,118.16,9.95,5911.84,32.37,Critical
FOOD_0016,11.53,1201.44,5558.87,849.31,7859.62,207.58,20.19,7300.44,30.92,Critical
FOOD_0017,10.18,1145.12,1786.36,932.73,7083.1,195.21,34.51,6842.64,29.13,Critical
FOOD_0018,10.64,1459.82,3510.8,838.39,6502.15,156.44,18.52,6145.76,39.71,Critical
FOOD_0019,9.79,701.52,2345.1,917.19,6154.48,199.56,42.02,5228.23,25.62,Critical
FOOD_0020,9.84,654.14,1549.47,780.64,6671.13,399.61,22.59,6905.43,34.27,Critical
