Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Oil & Grease (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
FRUI_0001,6.55,1855.06,5570.33,1646.75,1043.17,231.38,77.26,868.86,27.43,Critical
FRUI_0002,7.41,1498.16,2848.51,1804.07,2389.19,100.33,74.5,2006.39,24.35,Critical
FRUI_0003,5.99,2543.77,3107.39,1058.38,2596.67,214.88,31.26,3238.12,27.59,Critical
FRUI_0004,6.56,1060.02,2116.24,1573.18,3469.82,160.75,33.01,3032.35,31.43,Critical
FRUI_0005,5.79,1554.0,3890.64,1581.09,2597.8,264.37,60.54,3288.09,33.2,Critical
FRUI_0006,6.23,2098.94,5380.72,1670.54,2063.37,75.26,16.07,2632.36,33.57,Critical
FRUI_0007,6.81,2005.61,4749.73,2153.57,1553.56,33.45,13.55,1655.94,36.32,Critical
FRUI_0008,7.03,1142.3,4385.81,1965.29,2006.67,265.91,49.7,1839.44,35.55,Critical
FRUI_0009,6.36,1636.55,4669.57,2037.72,2387.57,121.55,16.75,2182.75,27.08,Critical
FRUI_0010,5.87,2254.23,4059.65,1135.63,2972.51,182.76,22.18,3543.1,26.48,Critical
FRUI_0011,5.63,1165.29,3031.81,1397.72,1170.85,46.72,28.69,1478.64,38.39,Critical
FRUI_0012,5.67,2486.05,4611.08,1061.99,2963.32,211.43,18.72,3390.15,35.55,Critical
FRUI_0013,6.56,1623.5,4556.65,2463.66,1293.77,27.18,26.48,1429.39,35.58,Critical
FRUI_0014,6.09,2974.47,3270.96,1602.39,1838.6,206.13,42.72,1869.71,36.59,Critical
FRUI_0015,6.66,2812.47,5243.31,1113.96,1626.3,225.9,69.18,1788.48,24.67,Critical
FRUI_0016,5.75,1725.53,2135.33,1275.39,2109.34,153.19,70.68,1771.7,32.1,Critical
FRUI_0017,5.75,2553.72,4340.78,890.33,2053.73,197.82,18.08,2511.04,33.52,Critical
FRUI_0018,6.43,1894.92,3043.87,1867.94,1510.78,217.97,27.97,1597.36,34.75,Critical
FRUI_0019,6.34,2185.21,3502.28,2318.94,2735.32,237.04,48.58,2513.32,28.43,Critical
FRUI_0020,5.65,2635.91,4612.9,2218.86,1554.46,298.49,76.83,1414.95,28.25,Critical
FRUI_0021,7.28,1678.14,2153.34,1316.48,1392.08,112.04,62.66,1607.43,35.15,Critical
FRUI_0022,7.3,3331.11,8247.54,1808.51,2831.32,56.81,68.01,3354.12,25.68,Critical
FRUI_0023,6.25,1544.26,5493.69,1728.61,1814.94,106.33,56.36,1610.5,38.41,Critical
FRUI_0024,6.82,4684.59,7886.3,3279.46,2830.9,112.77,67.93,2388.52,35.38,Critical
FRUI_0025,7.3,2766.18,5693.18,1655.27,2714.52,155.82,49.35,2730.95,26.75,Critical
FRUI_0026,7.37,1663.64,4492.23,1148.55,1386.18,144.4,18.76,1530.58,39.31,Critical
FRUI_0027,6.19,2727.07,5078.8,2198.53,2623.91,232.74,22.25,2515.89,37.74,Critical
FRUI_0028,7.38,1604.59,2979.74,988.09,2096.5,230.94,39.38,2142.46,25.8,Critical
FRUI_0029,5.69,2205.25,4132.29,1381.7,2986.52,155.35,55.01,2844.27,35.22,Critical
FRUI_0030,6.2,1568.75,4473.91,2277.21,2289.2,260.57,25.2,2071.0,24.14,Critical
FRUI_0031,5.56,1469.48,2665.09,1067.85,2130.05,96.62,61.49,2605.34,35.83,Critical
FRUI_0032,7.02,1158.94,2176.4,2148.5,2173.41,45.55,52.29,2596.94,28.42,Critical
FRUI_0033,6.02,1992.25,2141.99,1801.82,3163.35,288.78,73.97,3524.18,28.06,Critical
FRUI_0034,6.84,1302.29,4086.78,2410.72,1451.72,184.66,26.21,1405.43,35.37,Critical
FRUI_0035,6.69,1118.2,3648.63,1383.08,2710.63,135.81,42.12,3074.78,35.59,Critical
FRUI_0036,6.11,1382.1,5939.73,878.49,2905.69,157.2,20.25,3615.16,27.82,Critical
FRUI_0037,7.04,1307.32,2039.09,2431.15,1910.93,293.99,24.24,2272.81,35.5,Critical
FRUI_0038,6.79,2406.01,3457.49,1932.51,2441.86,259.46,64.51,2528.48,28.05,Critical
FRUI_0039,5.78,3057.62,11647.7,4246.59,2369.8,250.5,73.34,2225.27,28.67,Critical
FRUI_0040,5.68,1370.35,4934.86,1683.97,1301.24,165.58,20.59,1106.63,35.82,Critical
FRUI_0041,7.5,2212.19,5797.31,2435.74,2384.26,283.26,63.08,2855.16,39.2,Critical
FRUI_0042,5.75,1759.56,3773.41,2332.7,2128.33,167.96,74.54,2699.25,24.64,Critical
FRUI_0043,5.53,1420.78,2614.44,2259.96,1000.15,258.82,27.05,1119.62,29.92,Critical
FRUI_0044,6.89,1661.54,2152.95,1772.61,2937.29,229.05,57.79,3384.74,32.12,Critical
FRUI_0045,6.41,1142.3,2942.98,2178.58,1896.31,244.93,30.7,1922.11,30.85,Critical
FRUI_0046,5.78,2271.73,3949.46,1815.47,3280.67,146.74,50.73,3626.82,27.9,Critical
FRUI_0047,6.89,1577.29,5707.41,1313.66,1119.39,216.72,44.42,897.02,33.0,Critical
FRUI_0048,7.37,1996.63,5167.45,2220.63,2660.72,193.76,60.27,2839.33,34.16,Critical
FRUI_0049,6.95,1827.9,2454.34,911.87,3186.61,156.11,56.94,3184.25,38.27,Critical
FRUI_0050,7.19,2186.91,5810.21,2384.97,2956.14,216.69,67.03,2533.01,34.89,Critical
FRUI_0051,6.44,1682.16,3305.87,1421.57,1744.33,154.46,26.19,1939.88,24.44,Critical
FRUI_0052,6.9,1652.8,4441.85,2341.72,2853.36,158.25,40.53,2789.43,31.24,Critical
FRUI_0053,7.44,2558.3,2661.69,987.57,2182.26,294.85,76.05,2394.71,33.63,Critical
FRUI_0054,6.34,2655.9,5695.37,2257.92,2355.99,138.89,10.32,2310.35,32.75,Critical
FRUI_0055,5.82,1995.83,5531.83,1876.23,3251.74,226.07,43.78,2812.48,27.19,Critical
FRUI_0056,6.92,1709.98,3895.3,1365.83,3250.36,190.91,73.2,3839.44,39.01,Critical
FRUI_0057,5.5,2163.75,5972.93,1535.19,3222.44,159.94,30.27,3893.66,33.64,Critical
FRUI_0058,6.28,2807.71,4312.16,1953.64,3240.03,240.33,71.85,3964.94,39.99,Critical
FRUI_0059,5.52,2256.79,4351.33,1865.44,1780.2,127.73,28.96,1612.08,35.52,Critical
FRUI_0060,5.61,2674.69,5254.33,2330.78,3272.3,62.11,70.38,3349.11,26.66,Critical
FRUI_0061,6.35,2731.49,4629.31,1915.85,1467.61,78.34,42.75,1682.1,36.47,Critical
FRUI_0062,5.84,1523.29,3742.14,1277.06,3178.56,189.47,74.68,3795.91,39.07,Critical
FRUI_0063,6.41,4469.46,7373.83,1781.53,1028.99,121.18,11.43,843.86,26.7,Critical
FRUI_0064,5.51,2338.9,2632.4,2326.03,3213.55,50.55,14.53,3568.39,26.41,Critical
FRUI_0065,5.76,2366.33,3528.8,2015.15,2981.73,119.88,75.41,2605.57,25.77,Critical
FRUI_0066,6.56,1967.46,5355.38,2423.97,1846.0,55.72,38.07,1566.53,29.34,Critical
FRUI_0067,5.73,3175.02,7940.57,2436.58,1797.86,67.6,50.85,1962.86,27.85,Critical
FRUI_0068,6.05,2680.06,6485.39,2138.26,1012.15,45.1,16.55,1219.08,35.54,Critical
FRUI_0069,6.19,2411.67,3775.82,1305.94,3133.94,282.47,61.75,3882.59,39.7,Critical
FRUI_0070,6.94,1506.24,2451.13,2119.1,1336.64,221.52,48.0,1697.44,29.24,Critical
FRUI_0071,6.47,2026.92,4543.74,1496.6,2172.16,111.54,69.85,2592.13,24.43,Critical
FRUI_0072,6.29,1534.7,2871.89,1375.61,1135.91,206.41,69.37,1253.36,31.0,Critical
FRUI_0073,7.08,1764.69,4821.61,1720.98,1414.66,251.99,78.31,1532.88,28.08,Critical
FRUI_0074,5.63,2277.34,2433.39,1559.58,3072.11,107.87,79.07,2800.65,35.23,Critical
FRUI_0075,6.01,1718.24,5467.87,1493.41,1110.38,100.43,44.15,946.84,25.99,Critical
FRUI_0076,5.98,2798.81,5739.39,2417.19,2248.23,187.74,34.17,1825.85,39.82,Critical
FRUI_0077,6.44,1932.17,4696.78,1024.25,1499.56,283.27,59.5,1664.61,39.27,Critical
FRUI_0078,6.15,2430.41,5164.02,2293.22,3405.54,255.15,72.29,3186.75,32.44,Critical
FRUI_0079,6.84,2113.9,4217.61,1710.65,2125.41,106.49,17.57,2555.76,33.14,Critical
FRUI_0080,5.66,1557.69,2093.44,904.93,3117.81,282.47,41.18,3601.58,25.78,Critical
FRUI_0081,5.99,1200.07,2613.25,1282.26,1886.28,20.54,58.14,2308.99,27.36,Critical
FRUI_0082,6.81,1700.9,2044.06,890.57,1211.82,136.91,44.62,1194.91,38.04,Critical
FRUI_0083,7.22,2231.67,4216.53,985.18,1137.99,223.6,43.96,1000.57,37.99,Critical
FRUI_0084,5.64,2214.6,2034.49,2186.0,1554.85,215.37,32.32,1928.31,24.99,Critical
FRUI_0085,6.93,2174.34,3757.51,1697.43,3180.41,95.67,44.59,2709.34,27.48,Critical
FRUI_0086,5.75,1183.33,4936.29,1172.22,2445.05,106.22,30.07,2400.1,26.22,Critical
