Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Oil & Grease (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
MEAT_0001,7.52,5234.17,12222.59,5126.55,2511.21,473.23,243.92,2837.83,26.0,Critical
MEAT_0002,7.74,8676.33,10888.61,4354.21,6934.9,885.96,119.14,7392.69,24.15,Critical
MEAT_0003,6.91,4958.32,8743.75,2224.2,5816.07,398.43,107.1,6297.09,32.84,Critical
MEAT_0004,6.62,5784.33,11346.08,2204.64,2787.65,583.99,248.14,3508.79,24.05,Critical
MEAT_0005,6.69,2675.33,9825.7,3600.69,5757.52,1485.61,143.0,6620.26,34.19,Critical
MEAT_0006,7.34,4812.04,6945.75,3241.86,3995.81,1505.49,149.18,4800.96,38.72,Critical
MEAT_0007,7.58,4079.48,8920.58,1877.94,6392.86,1043.66,245.1,8179.77,39.55,Critical
MEAT_0008,6.72,3475.92,10197.8,3284.44,5378.88,1191.25,81.71,4993.32,33.51,Critical
MEAT_0009,6.94,4026.5,10308.92,2413.51,5936.28,1471.54,157.39,4851.61,39.89,Critical
MEAT_0010,7.25,3543.09,5802.27,2073.18,6362.77,1104.18,78.41,5932.0,32.64,Critical
MEAT_0011,6.86,4201.41,8673.49,3343.31,5825.81,1244.01,210.45,7357.54,33.35,Critical
MEAT_0012,7.3,5526.81,11068.37,2140.1,5758.59,1737.85,171.81,6011.57,25.18,Critical
MEAT_0013,6.92,3299.43,9726.61,2877.99,6836.3,1528.71,94.46,6873.39,34.13,Critical
MEAT_0014,7.53,3202.99,6727.86,2319.52,6507.38,536.07,66.81,5527.96,30.61,Critical
MEAT_0015,6.94,3694.31,11601.88,3305.18,2871.11,1063.68,207.81,3152.09,38.55,Critical
MEAT_0016,7.73,5071.93,10246.01,3496.1,2907.75,1501.32,57.65,2876.45,27.84,Critical
MEAT_0017,6.59,4713.06,7254.34,1641.8,3806.95,1536.97,64.28,3800.17,24.27,Critical
MEAT_0018,7.38,4534.32,6460.71,3663.62,6317.26,604.65,186.12,7103.53,39.83,Critical
MEAT_0019,7.18,2711.41,9079.26,3854.44,6908.71,816.68,114.03,6983.89,36.69,Critical
MEAT_0020,7.22,2716.49,10019.07,3152.74,4025.63,969.81,158.94,3485.24,39.66,Critical
MEAT_0021,7.66,11596.0,27248.01,4152.82,2624.03,637.87,216.69,3390.73,36.86,Critical
MEAT_0022,7.65,5840.03,11319.79,2800.64,5826.21,1082.04,217.11,5600.83,30.2,Critical
MEAT_0023,6.88,4347.4,7077.65,3444.52,6178.99,955.1,155.84,5699.03,27.53,Critical
MEAT_0024,7.92,2637.96,11279.89,2504.68,6657.41,1226.74,249.48,6396.16,38.26,Critical
MEAT_0025,7.93,4100.87,5107.93,3335.37,4804.6,1745.54,153.75,5653.64,30.43,Critical
MEAT_0026,7.13,4392.06,10873.35,3446.11,2801.03,647.28,155.26,3318.1,39.36,Critical
MEAT_0027,7.11,5453.08,10073.21,3539.14,5430.66,1337.25,139.26,5121.37,25.59,Critical
MEAT_0028,7.29,3441.72,8750.7,3954.7,4113.94,895.65,75.29,4583.37,32.21,Critical
MEAT_0029,7.23,3724.81,8805.51,2281.21,5260.48,894.18,234.05,4957.43,39.01,Critical
MEAT_0030,7.9,3680.07,8580.31,1885.08,3151.21,1240.9,114.81,2885.12,26.83,Critical
MEAT_0031,7.36,2513.73,8600.49,3452.88,5213.53,1072.48,225.48,5812.0,35.94,Critical
MEAT_0032,7.51,5111.86,8242.42,2513.94,3144.33,627.53,148.85,3487.31,27.92,Critical
MEAT_0033,6.78,2515.59,11070.02,1668.64,4610.51,1765.59,205.24,4792.22,35.99,Critical
MEAT_0034,7.39,3682.21,5889.33,3524.82,5588.74,402.62,62.45,5127.34,30.64,Critical
MEAT_0035,6.92,3935.31,10899.09,3027.01,4981.15,1754.4,232.26,6219.56,38.62,Critical
MEAT_0036,7.99,4347.53,9953.85,3267.03,6717.9,385.08,129.65,6788.05,25.47,Critical
MEAT_0037,7.88,5768.43,6682.65,2090.32,6001.6,359.76,64.64,5382.28,25.46,Critical
