Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Status
CRA-001,8.3,650,3000,500,3500,Raw Effluent
CRA-002,8.34,680,3100,520,3600,Raw Effluent
CRA-003,8.38,710,3200,540,3700,Raw Effluent
CRA-004,8.42,740,3300,560,3800,Raw Effluent
CRA-005,8.46,770,3400,580,3900,Raw Effluent
CRA-006,8.5,800,3500,600,4000,Raw Effluent
CRA-007,8.54,830,3600,620,4100,Raw Effluent
CRA-008,8.58,860,3700,640,4200,Raw Effluent
CRA-009,8.62,890,3800,660,4300,Raw Effluent
CRA-010,8.66,920,3900,680,4400,Raw Effluent
CRA-011,8.3,950,4000,700,4500,Raw Effluent
CRA-012,8.34,980,4100,720,4600,Raw Effluent
CRA-013,8.38,1010,4200,740,4700,Raw Effluent
CRA-014,8.42,1040,4300,760,4800,Raw Effluent
CRA-015,8.46,1070,4400,780,4900,Raw Effluent
CRA-016,8.5,1100,4500,500,5000,Raw Effluent
CRA-017,8.54,1130,4600,520,5100,Raw Effluent
CRA-018,8.58,1160,4700,540,5200,Raw Effluent
CRA-019,8.62,1190,4800,560,5300,Raw Effluent
CRA-020,8.66,1220,4900,580,5400,Raw Effluent
CRA-021,8.3,650,5000,600,5500,Raw Effluent
CRA-022,8.34,680,5100,620,5600,Raw Effluent
CRA-023,8.38,710,5200,640,5700,Raw Effluent
CRA-024,8.42,740,5300,660,5800,Raw Effluent
CRA-025,8.46,770,5400,680,5900,Raw Effluent
CRA-026,8.5,800,3500,700,6000,Raw Effluent
CRA-027,8.54,830,3600,720,6100,Raw Effluent
CRA-028,8.58,860,3700,740,6200,Raw Effluent
CRA-029,8.62,890,3800,760,6300,Raw Effluent
CRA-030,8.66,920,3900,780,6400,Raw Effluent
CRA-031,8.3,950,4000,500,3500,Raw Effluent
CRA-032,8.34,980,4100,520,3600,Raw Effluent
CRA-033,8.38,1010,4200,540,3700,Raw Effluent
CRA-034,8.42,1040,4300,560,3800,Raw Effluent
CRA-035,8.46,1070,4400,580,3900,Raw Effluent
CRA-036,8.5,1100,4500,600,4000,Raw Effluent
CRA-037,8.54,1130,4600,620,4100,Raw Effluent
CRA-038,8.58,1160,4700,640,4200,Raw Effluent
CRA-039,8.62,1190,4800,660,4300,Raw Effluent
CRA-040,8.66,1220,4900,680,4400,Raw Effluent
CRA-041,8.3,650,5000,700,4500,Raw Effluent
CRA-042,8.34,680,5100,720,4600,Raw Effluent
CRA-043,8.38,710,5200,740,4700,Raw Effluent
CRA-044,8.42,740,5300,760,4800,Raw Effluent
CRA-045,8.46,770,5400,780,4900,Raw Effluent
CRA-046,8.5,800,3500,500,5000,Raw Effluent
CRA-047,8.54,830,3600,520,5100,Raw Effluent
CRA-048,8.58,860,3700,540,5200,Raw Effluent
CRA-049,8.62,890,3800,560,5300,Raw Effluent
CRA-050,8.66,920,3900,580,5400,Raw Effluent
CRA-051,8.3,950,4000,600,5500,Raw Effluent
CRA-052,8.34,980,4100,620,5600,Raw Effluent
CRA-053,8.38,1010,4200,640,5700,Raw Effluent
CRA-054,8.42,1040,4300,660,5800,Raw Effluent
CRA-055,8.46,1070,4400,680,5900,Raw Effluent
CRA-056,8.5,1100,4500,700,6000,Raw Effluent
CRA-057,8.54,1130,4600,720,6100,Raw Effluent
CRA-058,8.58,1160,4700,740,6200,Raw Effluent
CRA-059,8.62,1190,4800,760,6300,Raw Effluent
CRA-060,8.66,1220,4900,780,6400,Raw Effluent
CRA-061,8.3,650,5000,500,3500,Raw Effluent
CRA-062,8.34,680,5100,520,3600,Raw Effluent
CRA-063,8.38,710,5200,540,3700,Raw Effluent
CRA-064,8.42,740,5300,560,3800,Raw Effluent
CRA-065,8.46,770,5400,580,3900,Raw Effluent
CRA-066,8.5,800,3500,600,4000,Raw Effluent
CRA-067,8.54,830,3600,620,4100,Raw Effluent
CRA-068,8.58,860,3700,640,4200,Raw Effluent
CRA-069,8.62,890,3800,660,4300,Raw Effluent
CRA-070,8.66,920,3900,680,4400,Raw Effluent
CRA-071,8.3,950,4000,700,4500,Raw Effluent
CRA-072,8.34,980,4100,720,4600,Raw Effluent
CRA-073,8.38,1010,4200,740,4700,Raw Effluent
CRA-074,8.42,1040,4300,760,4800,Raw Effluent
CRA-075,8.46,1070,4400,780,4900,Raw Effluent
CRA-076,8.5,1100,4500,500,5000,Raw Effluent
CRA-077,8.54,1130,4600,520,5100,Raw Effluent
CRA-078,8.58,1160,4700,540,5200,Raw Effluent
CRA-079,8.62,1190,4800,560,5300,Raw Effluent
CRA-080,8.66,1220,4900,580,5400,Raw Effluent
CRA-081,8.3,650,5000,600,5500,Raw Effluent
CRA-082,8.34,680,5100,620,5600,Raw Effluent
CRA-083,8.38,710,5200,640,5700,Raw Effluent
CRA-084,8.42,740,5300,660,5800,Raw Effluent
CRA-085,8.46,770,5400,680,5900,Raw Effluent
CRA-086,8.5,800,3500,700,6000,Raw Effluent
CRA-087,8.54,830,3600,720,6100,Raw Effluent
CRA-088,8.58,860,3700,740,6200,Raw Effluent
CRA-089,8.62,890,3800,760,6300,Raw Effluent
CRA-090,8.66,920,3900,780,6400,Raw Effluent
CRA-091,8.3,950,4000,500,3500,Raw Effluent
CRA-092,8.34,980,4100,520,3600,Raw Effluent
CRA-093,8.38,1010,4200,540,3700,Raw Effluent
CRA-094,8.42,1040,4300,560,3800,Raw Effluent
CRA-095,8.46,1070,4400,580,3900,Raw Effluent
CRA-096,8.5,1100,4500,600,4000,Raw Effluent
CRA-097,8.54,1130,4600,620,4100,Raw Effluent
CRA-098,8.58,1160,4700,640,4200,Raw Effluent
CRA-099,8.62,1190,4800,660,4300,Raw Effluent
CRA-100,8.66,1220,4900,680,4400,Raw Effluent
CRA-101,8.3,650,5000,700,4500,Raw Effluent
CRA-102,8.34,680,5100,720,4600,Raw Effluent
CRA-103,8.38,710,5200,740,4700,Raw Effluent
CRA-104,8.42,740,5300,760,4800,Raw Effluent
CRA-105,8.46,770,5400,780,4900,Raw Effluent
CRA-106,8.5,800,3500,500,5000,Raw Effluent
CRA-107,8.54,830,3600,520,5100,Raw Effluent
CRA-108,8.58,860,3700,540,5200,Raw Effluent
CRA-109,8.62,890,3800,560,5300,Raw Effluent
CRA-110,8.66,920,3900,580,5400,Raw Effluent
CRA-111,8.3,950,4000,600,5500,Raw Effluent
CRA-112,8.34,980,4100,620,5600,Raw Effluent
CRA-113,8.38,1010,4200,640,5700,Raw Effluent
CRA-114,8.42,1040,4300,660,5800,Raw Effluent
CRA-115,8.46,1070,4400,680,5900,Raw Effluent
CRA-116,8.5,1100,4500,700,6000,Raw Effluent
CRA-117,8.54,1130,4600,720,6100,Raw Effluent
CRA-118,8.58,1160,4700,740,6200,Raw Effluent
CRA-119,8.62,1190,4800,760,6300,Raw Effluent
CRA-120,8.66,1220,4900,780,6400,Raw Effluent
CRA-121,8.3,650,5000,500,3500,Raw Effluent
CRA-122,8.34,680,5100,520,3600,Raw Effluent
CRA-123,8.38,710,5200,540,3700,Raw Effluent
CRA-124,8.42,740,5300,560,3800,Raw Effluent
CRA-125,8.46,770,5400,580,3900,Raw Effluent
CRA-126,8.5,800,3500,600,4000,Raw Effluent
CRA-127,8.54,830,3600,620,4100,Raw Effluent
CRA-128,8.58,860,3700,640,4200,Raw Effluent
CRA-129,8.62,890,3800,660,4300,Raw Effluent
CRA-130,8.66,920,3900,680,4400,Raw Effluent
CRA-131,8.3,950,4000,700,4500,Raw Effluent
CRA-132,8.34,980,4100,720,4600,Raw Effluent
CRA-133,8.38,1010,4200,740,4700,Raw Effluent
CRA-134,8.42,1040,4300,760,4800,Raw Effluent
CRA-135,8.46,1070,4400,780,4900,Raw Effluent
CRA-136,8.5,1100,4500,500,5000,Raw Effluent
CRA-137,8.54,1130,4600,520,5100,Raw Effluent
CRA-138,8.58,1160,4700,540,5200,Raw Effluent
CRA-139,8.62,1190,4800,560,5300,Raw Effluent
CRA-140,8.66,1220,4900,580,5400,Raw Effluent
CRA-141,8.3,650,5000,600,5500,Raw Effluent
CRA-142,8.34,680,5100,620,5600,Raw Effluent
CRA-143,8.38,710,5200,640,5700,Raw Effluent
CRA-144,8.42,740,5300,660,5800,Raw Effluent
CRA-145,8.46,770,5400,680,5900,Raw Effluent
CRA-146,8.5,800,3500,700,6000,Raw Effluent
CRA-147,8.54,830,3600,720,6100,Raw Effluent
CRA-148,8.58,860,3700,740,6200,Raw Effluent
CRA-149,8.62,890,3800,760,6300,Raw Effluent
CRA-150,8.66,920,3900,780,6400,Raw Effluent
CRA-151,8.3,950,4000,500,3500,Raw Effluent
CRA-152,8.34,980,4100,520,3600,Raw Effluent
CRA-153,8.38,1010,4200,540,3700,Raw Effluent
CRA-154,8.42,1040,4300,560,3800,Raw Effluent
CRA-155,8.46,1070,4400,580,3900,Raw Effluent
CRA-156,8.5,1100,4500,600,4000,Raw Effluent
CRA-157,8.54,1130,4600,620,4100,Raw Effluent
CRA-158,8.58,1160,4700,640,4200,Raw Effluent
CRA-159,8.62,1190,4800,660,4300,Raw Effluent
CRA-160,8.66,1220,4900,680,4400,Raw Effluent
CRA-161,8.3,650,5000,700,4500,Raw Effluent
CRA-162,8.34,680,5100,720,4600,Raw Effluent
CRA-163,8.38,710,5200,740,4700,Raw Effluent
CRA-164,8.42,740,5300,760,4800,Raw Effluent
CRA-165,8.46,770,5400,780,4900,Raw Effluent
CRA-166,8.5,800,3500,500,5000,Raw Effluent
CRA-167,8.54,830,3600,520,5100,Raw Effluent
CRA-168,8.58,860,3700,540,5200,Raw Effluent
CRA-169,8.62,890,3800,560,5300,Raw Effluent
CRA-170,8.66,920,3900,580,5400,Raw Effluent
CRA-171,8.3,950,4000,600,5500,Raw Effluent
CRA-172,8.34,980,4100,620,5600,Raw Effluent
CRA-173,8.38,1010,4200,640,5700,Raw Effluent
CRA-174,8.42,1040,4300,660,5800,Raw Effluent
CRA-175,8.46,1070,4400,680,5900,Raw Effluent
CRA-176,8.5,1100,4500,700,6000,Raw Effluent
CRA-177,8.54,1130,4600,720,6100,Raw Effluent
CRA-178,8.58,1160,4700,740,6200,Raw Effluent
CRA-179,8.62,1190,4800,760,6300,Raw Effluent
CRA-180,8.66,1220,4900,780,6400,Raw Effluent
CRA-181,8.3,650,5000,500,3500,Raw Effluent
CRA-182,8.34,680,5100,520,3600,Raw Effluent
CRA-183,8.38,710,5200,540,3700,Raw Effluent
CRA-184,8.42,740,5300,560,3800,Raw Effluent
CRA-185,8.46,770,5400,580,3900,Raw Effluent
CRA-186,8.5,800,3500,600,4000,Raw Effluent
CRA-187,8.54,830,3600,620,4100,Raw Effluent
CRA-188,8.58,860,3700,640,4200,Raw Effluent
CRA-189,8.62,890,3800,660,4300,Raw Effluent
