Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Status
POL-001,7.0,250,1200,1800,1200,Raw Effluent
POL-002,7.04,260,1260,1840,1260,Raw Effluent
POL-003,7.08,270,1320,1880,1320,Raw Effluent
POL-004,7.12,280,1380,1920,1380,Raw Effluent
POL-005,7.16,290,1440,1960,1440,Raw Effluent
POL-006,7.2,300,1500,2000,1500,Raw Effluent
POL-007,7.24,310,1560,2040,1560,Raw Effluent
POL-008,7.28,320,1620,2080,1620,Raw Effluent
POL-009,7.32,330,1680,2120,1680,Raw Effluent
POL-010,7.36,340,1740,2160,1740,Raw Effluent
POL-011,7.0,350,1800,2200,1800,Raw Effluent
POL-012,7.04,360,1860,2240,1860,Raw Effluent
POL-013,7.08,370,1920,2280,1920,Raw Effluent
POL-014,7.12,380,1980,2320,1980,Raw Effluent
POL-015,7.16,390,2040,2360,2040,Raw Effluent
POL-016,7.2,400,2100,2400,2100,Raw Effluent
POL-017,7.24,410,2160,2440,2160,Raw Effluent
POL-018,7.28,420,2220,2480,2220,Raw Effluent
POL-019,7.32,430,2280,2520,2280,Raw Effluent
POL-020,7.36,440,2340,2560,2340,Raw Effluent
POL-021,7.0,250,2400,2600,2400,Raw Effluent
POL-022,7.04,260,2460,2640,2460,Raw Effluent
POL-023,7.08,270,2520,2680,2520,Raw Effluent
POL-024,7.12,280,2580,2720,2580,Raw Effluent
POL-025,7.16,290,2640,2760,2640,Raw Effluent
POL-026,7.2,300,1500,2800,2700,Raw Effluent
POL-027,7.24,310,1560,2840,2760,Raw Effluent
POL-028,7.28,320,1620,2880,2820,Raw Effluent
POL-029,7.32,330,1680,2920,2880,Raw Effluent
POL-030,7.36,340,1740,2960,2940,Raw Effluent
POL-031,7.0,350,1800,1800,1200,Raw Effluent
POL-032,7.04,360,1860,1840,1260,Raw Effluent
POL-033,7.08,370,1920,1880,1320,Raw Effluent
POL-034,7.12,380,1980,1920,1380,Raw Effluent
POL-035,7.16,390,2040,1960,1440,Raw Effluent
POL-036,7.2,400,2100,2000,1500,Raw Effluent
POL-037,7.24,410,2160,2040,1560,Raw Effluent
POL-038,7.28,420,2220,2080,1620,Raw Effluent
POL-039,7.32,430,2280,2120,1680,Raw Effluent
POL-040,7.36,440,2340,2160,1740,Raw Effluent
POL-041,7.0,250,2400,2200,1800,Raw Effluent
POL-042,7.04,260,2460,2240,1860,Raw Effluent
POL-043,7.08,270,2520,2280,1920,Raw Effluent
POL-044,7.12,280,2580,2320,1980,Raw Effluent
POL-045,7.16,290,2640,2360,2040,Raw Effluent
POL-046,7.2,300,1500,2400,2100,Raw Effluent
POL-047,7.24,310,1560,2440,2160,Raw Effluent
POL-048,7.28,320,1620,2480,2220,Raw Effluent
POL-049,7.32,330,1680,2520,2280,Raw Effluent
POL-050,7.36,340,1740,2560,2340,Raw Effluent
POL-051,7.0,350,1800,2600,2400,Raw Effluent
POL-052,7.04,360,1860,2640,2460,Raw Effluent
POL-053,7.08,370,1920,2680,2520,Raw Effluent
POL-054,7.12,380,1980,2720,2580,Raw Effluent
POL-055,7.16,390,2040,2760,2640,Raw Effluent
POL-056,7.2,400,2100,2800,2700,Raw Effluent
POL-057,7.24,410,2160,2840,2760,Raw Effluent
POL-058,7.28,420,2220,2880,2820,Raw Effluent
POL-059,7.32,430,2280,2920,2880,Raw Effluent
POL-060,7.36,440,2340,2960,2940,Raw Effluent
POL-061,7.0,250,2400,1800,1200,Raw Effluent
POL-062,7.04,260,2460,1840,1260,Raw Effluent
POL-063,7.08,270,2520,1880,1320,Raw Effluent
POL-064,7.12,280,2580,1920,1380,Raw Effluent
POL-065,7.16,290,2640,1960,1440,Raw Effluent
POL-066,7.2,300,1500,2000,1500,Raw Effluent
POL-067,7.24,310,1560,2040,1560,Raw Effluent
POL-068,7.28,320,1620,2080,1620,Raw Effluent
POL-069,7.32,330,1680,2120,1680,Raw Effluent
POL-070,7.36,340,1740,2160,1740,Raw Effluent
POL-071,7.0,350,1800,2200,1800,Raw Effluent
POL-072,7.04,360,1860,2240,1860,Raw Effluent
POL-073,7.08,370,1920,2280,1920,Raw Effluent
POL-074,7.12,380,1980,2320,1980,Raw Effluent
POL-075,7.16,390,2040,2360,2040,Raw Effluent
POL-076,7.2,400,2100,2400,2100,Raw Effluent
POL-077,7.24,410,2160,2440,2160,Raw Effluent
POL-078,7.28,420,2220,2480,2220,Raw Effluent
POL-079,7.32,430,2280,2520,2280,Raw Effluent
POL-080,7.36,440,2340,2560,2340,Raw Effluent
POL-081,7.0,250,2400,2600,2400,Raw Effluent
POL-082,7.04,260,2460,2640,2460,Raw Effluent
POL-083,7.08,270,2520,2680,2520,Raw Effluent
POL-084,7.12,280,2580,2720,2580,Raw Effluent
POL-085,7.16,290,2640,2760,2640,Raw Effluent
POL-086,7.2,300,1500,2800,2700,Raw Effluent
POL-087,7.24,310,1560,2840,2760,Raw Effluent
POL-088,7.28,320,1620,2880,2820,Raw Effluent
POL-089,7.32,330,1680,2920,2880,Raw Effluent
POL-090,7.36,340,1740,2960,2940,Raw Effluent
POL-091,7.0,350,1800,1800,1200,Raw Effluent
POL-092,7.04,360,1860,1840,1260,Raw Effluent
POL-093,7.08,370,1920,1880,1320,Raw Effluent
POL-094,7.12,380,1980,1920,1380,Raw Effluent
POL-095,7.16,390,2040,1960,1440,Raw Effluent
POL-096,7.2,400,2100,2000,1500,Raw Effluent
POL-097,7.24,410,2160,2040,1560,Raw Effluent
POL-098,7.28,420,2220,2080,1620,Raw Effluent
POL-099,7.32,430,2280,2120,1680,Raw Effluent
POL-100,7.36,440,2340,2160,1740,Raw Effluent
POL-101,7.0,250,2400,2200,1800,Raw Effluent
POL-102,7.04,260,2460,2240,1860,Raw Effluent
POL-103,7.08,270,2520,2280,1920,Raw Effluent
POL-104,7.12,280,2580,2320,1980,Raw Effluent
POL-105,7.16,290,2640,2360,2040,Raw Effluent
POL-106,7.2,300,1500,2400,2100,Raw Effluent
POL-107,7.24,310,1560,2440,2160,Raw Effluent
POL-108,7.28,320,1620,2480,2220,Raw Effluent
POL-109,7.32,330,1680,2520,2280,Raw Effluent
POL-110,7.36,340,1740,2560,2340,Raw Effluent
POL-111,7.0,350,1800,2600,2400,Raw Effluent
POL-112,7.04,360,1860,2640,2460,Raw Effluent
POL-113,7.08,370,1920,2680,2520,Raw Effluent
POL-114,7.12,380,1980,2720,2580,Raw Effluent
POL-115,7.16,390,2040,2760,2640,Raw Effluent
POL-116,7.2,400,2100,2800,2700,Raw Effluent
POL-117,7.24,410,2160,2840,2760,Raw Effluent
POL-118,7.28,420,2220,2880,2820,Raw Effluent
POL-119,7.32,430,2280,2920,2880,Raw Effluent
POL-120,7.36,440,2340,2960,2940,Raw Effluent
POL-121,7.0,250,2400,1800,1200,Raw Effluent
POL-122,7.04,260,2460,1840,1260,Raw Effluent
POL-123,7.08,270,2520,1880,1320,Raw Effluent
POL-124,7.12,280,2580,1920,1380,Raw Effluent
POL-125,7.16,290,2640,1960,1440,Raw Effluent
POL-126,7.2,300,1500,2000,1500,Raw Effluent
POL-127,7.24,310,1560,2040,1560,Raw Effluent
POL-128,7.28,320,1620,2080,1620,Raw Effluent
POL-129,7.32,330,1680,2120,1680,Raw Effluent
POL-130,7.36,340,1740,2160,1740,Raw Effluent
POL-131,7.0,350,1800,2200,1800,Raw Effluent
POL-132,7.04,360,1860,2240,1860,Raw Effluent
POL-133,7.08,370,1920,2280,1920,Raw Effluent
POL-134,7.12,380,1980,2320,1980,Raw Effluent
POL-135,7.16,390,2040,2360,2040,Raw Effluent
POL-136,7.2,400,2100,2400,2100,Raw Effluent
POL-137,7.24,410,2160,2440,2160,Raw Effluent
POL-138,7.28,420,2220,2480,2220,Raw Effluent
POL-139,7.32,430,2280,2520,2280,Raw Effluent
POL-140,7.36,440,2340,2560,2340,Raw Effluent
POL-141,7.0,250,2400,2600,2400,Raw Effluent
POL-142,7.04,260,2460,2640,2460,Raw Effluent
POL-143,7.08,270,2520,2680,2520,Raw Effluent
POL-144,7.12,280,2580,2720,2580,Raw Effluent
POL-145,7.16,290,2640,2760,2640,Raw Effluent
POL-146,7.2,300,1500,2800,2700,Raw Effluent
POL-147,7.24,310,1560,2840,2760,Raw Effluent
POL-148,7.28,320,1620,2880,2820,Raw Effluent
POL-149,7.32,330,1680,2920,2880,Raw Effluent
POL-150,7.36,340,1740,2960,2940,Raw Effluent
POL-151,7.0,350,1800,1800,1200,Raw Effluent
POL-152,7.04,360,1860,1840,1260,Raw Effluent
POL-153,7.08,370,1920,1880,1320,Raw Effluent
POL-154,7.12,380,1980,1920,1380,Raw Effluent
POL-155,7.16,390,2040,1960,1440,Raw Effluent
POL-156,7.2,400,2100,2000,1500,Raw Effluent
POL-157,7.24,410,2160,2040,1560,Raw Effluent
POL-158,7.28,420,2220,2080,1620,Raw Effluent
POL-159,7.32,430,2280,2120,1680,Raw Effluent
POL-160,7.36,440,2340,2160,1740,Raw Effluent
POL-161,7.0,250,2400,2200,1800,Raw Effluent
POL-162,7.04,260,2460,2240,1860,Raw Effluent
POL-163,7.08,270,2520,2280,1920,Raw Effluent
POL-164,7.12,280,2580,2320,1980,Raw Effluent
POL-165,7.16,290,2640,2360,2040,Raw Effluent
POL-166,7.2,300,1500,2400,2100,Raw Effluent
POL-167,7.24,310,1560,2440,2160,Raw Effluent
POL-168,7.28,320,1620,2480,2220,Raw Effluent
POL-169,7.32,330,1680,2520,2280,Raw Effluent
POL-170,7.36,340,1740,2560,2340,Raw Effluent
POL-171,7.0,350,1800,2600,2400,Raw Effluent
POL-172,7.04,360,1860,2640,2460,Raw Effluent
POL-173,7.08,370,1920,2680,2520,Raw Effluent
POL-174,7.12,380,1980,2720,2580,Raw Effluent
POL-175,7.16,390,2040,2760,2640,Raw Effluent
POL-176,7.2,400,2100,2800,2700,Raw Effluent
POL-177,7.24,410,2160,2840,2760,Raw Effluent
POL-178,7.28,420,2220,2880,2820,Raw Effluent
POL-179,7.32,430,2280,2920,2880,Raw Effluent
POL-180,7.36,440,2340,2960,2940,Raw Effluent
POL-181,7.0,250,2400,1800,1200,Raw Effluent
POL-182,7.04,260,2460,1840,1260,Raw Effluent
POL-183,7.08,270,2520,1880,1320,Raw Effluent
POL-184,7.12,280,2580,1920,1380,Raw Effluent
POL-185,7.16,290,2640,1960,1440,Raw Effluent
POL-186,7.2,300,1500,2000,1500,Raw Effluent
POL-187,7.24,310,1560,2040,1560,Raw Effluent
POL-188,7.28,320,1620,2080,1620,Raw Effluent
POL-189,7.32,330,1680,2120,1680,Raw Effluent
POL-190,7.36,340,1740,2160,1740,Raw Effluent
POL-191,7.0,350,1800,2200,1800,Raw Effluent
POL-192,7.04,360,1860,2240,1860,Raw Effluent
POL-193,7.08,370,1920,2280,1920,Raw Effluent
POL-194,7.12,380,1980,2320,1980,Raw Effluent
POL-195,7.16,390,2040,2360,2040,Raw Effluent
POL-196,7.2,400,2100,2400,2100,Raw Effluent
POL-197,7.24,410,2160,2440,2160,Raw Effluent
POL-198,7.28,420,2220,2480,2220,Raw Effluent
POL-199,7.32,430,2280,2520,2280,Raw Effluent
POL-200,7.36,440,2340,2560,2340,Raw Effluent
POL-201,7.0,250,2400,2600,2400,Raw Effluent
POL-202,7.04,260,2460,2640,2460,Raw Effluent
POL-203,7.08,270,2520,2680,2520,Raw Effluent
POL-204,7.12,280,2580,2720,2580,Raw Effluent
POL-205,7.16,290,2640,2760,2640,Raw Effluent
POL-206,7.2,300,1500,2800,2700,Raw Effluent
POL-207,7.24,310,1560,2840,2760,Raw Effluent
POL-208,7.28,320,1620,2880,2820,Raw Effluent
POL-209,7.32,330,1680,2920,2880,Raw Effluent
POL-210,7.36,340,1740,2960,2940,Raw Effluent
POL-211,7.0,350,1800,1800,1200,Raw Effluent
POL-212,7.04,360,1860,1840,1260,Raw Effluent
POL-213,7.08,370,1920,1880,1320,Raw Effluent
POL-214,7.12,380,1980,1920,1380,Raw Effluent
POL-215,7.16,390,2040,1960,1440,Raw Effluent
POL-216,7.2,400,2100,2000,1500,Raw Effluent
