Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PHARMA_FORM_0001,7.73,924.49,974.21,140.61,1525.05
PHARMA_FORM_0002,6.34,1622.63,551.79,596.29,1846.22
PHARMA_FORM_0003,6.75,2877.79,422.69,178.1,938.68
PHARMA_FORM_0004,6.9,2211.82,838.63,594.21,949.24
PHARMA_FORM_0005,8.01,2277.25,461.0,588.64,1092.11
PHARMA_FORM_0006,6.7,2191.02,439.51,496.91,1680.73
PHARMA_FORM_0007,6.53,1237.78,386.0,429.71,1163.79
PHARMA_FORM_0008,8.39,1720.33,303.74,388.9,1281.58
PHARMA_FORM_0009,6.02,2452.07,405.17,533.05,1480.53
PHARMA_FORM_0010,8.49,1023.02,484.26,244.72,2180.17
PHARMA_FORM_0011,7.69,1411.28,739.2,333.84,823.57
PHARMA_FORM_0012,8.07,1407.9,250.05,409.69,1903.94
PHARMA_FORM_0013,6.74,1750.44,368.41,305.6,1937.09
PHARMA_FORM_0014,6.04,2956.81,847.22,313.74,2157.71
PHARMA_FORM_0015,7.84,948.51,317.54,265.14,2385.68
PHARMA_FORM_0016,8.09,1941.14,474.12,382.12,834.23
PHARMA_FORM_0017,7.85,1194.6,891.73,525.29,1061.43
PHARMA_FORM_0018,6.36,2935.49,323.94,200.76,2306.49
PHARMA_FORM_0019,7.88,1049.27,266.19,567.22,1579.48
PHARMA_FORM_0020,7.92,1687.92,587.63,444.54,1759.8
PHARMA_FORM_0021,7.65,2423.35,441.94,511.64,1927.15
PHARMA_FORM_0022,7.92,2350.02,650.73,378.1,1954.41
PHARMA_FORM_0023,8.11,1730.0,843.04,489.76,2383.96
PHARMA_FORM_0024,7.53,1562.35,309.72,108.1,2494.81
PHARMA_FORM_0025,6.22,1674.75,664.56,509.19,2024.27
PHARMA_FORM_0026,7.22,1381.41,604.41,120.07,1288.28
PHARMA_FORM_0027,6.19,1251.73,315.26,544.96,2295.58
PHARMA_FORM_0028,7.02,1862.69,699.2,595.98,883.68
PHARMA_FORM_0029,7.02,1390.77,418.91,247.03,1192.84
PHARMA_FORM_0030,6.17,1432.42,590.27,205.16,2325.56
PHARMA_FORM_0031,6.87,2244.86,265.82,482.68,1235.53
PHARMA_FORM_0032,6.28,2930.78,567.67,226.51,1175.11
PHARMA_FORM_0033,8.02,2128.0,445.17,532.78,1034.81
PHARMA_FORM_0034,8.37,969.35,857.9,151.42,2260.49
PHARMA_FORM_0035,6.18,966.28,245.58,162.98,1650.1
PHARMA_FORM_0036,8.39,2893.13,534.89,589.58,1947.32
PHARMA_FORM_0037,7.31,1454.04,566.75,436.92,1206.41
PHARMA_FORM_0038,6.75,1002.55,780.0,523.44,2088.67
PHARMA_FORM_0039,6.19,2117.9,659.43,262.16,2092.01
PHARMA_FORM_0040,7.25,2172.03,733.77,438.24,1331.42
PHARMA_FORM_0041,7.99,2226.71,821.64,397.12,1498.16
PHARMA_FORM_0042,7.77,1388.28,889.76,401.58,1156.47
PHARMA_FORM_0043,6.13,833.24,451.1,441.27,2460.15
PHARMA_FORM_0044,6.18,2923.03,630.42,387.68,1897.52
PHARMA_FORM_0045,7.01,1351.96,872.09,314.53,2388.72
PHARMA_FORM_0046,6.74,2287.26,991.56,237.96,1315.76
PHARMA_FORM_0047,6.58,2354.59,911.62,484.29,2129.21
PHARMA_FORM_0048,6.7,2142.02,497.17,213.14,2101.96
PHARMA_FORM_0049,8.01,1488.4,356.13,446.18,1975.81
PHARMA_FORM_0050,8.32,1396.41,591.51,216.67,2441.59
PHARMA_FORM_0051,7.01,2114.87,793.31,412.67,1469.04
PHARMA_FORM_0052,8.27,2705.41,594.06,473.54,1022.22
PHARMA_FORM_0053,6.8,2882.81,586.54,209.36,1941.91
