Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PHARMA_RND__0001,8.41,5828.27,782.61,240.29,6307.62
PHARMA_RND__0002,7.98,1074.28,556.74,282.72,6456.93
PHARMA_RND__0003,4.68,3405.63,711.12,216.5,2305.12
PHARMA_RND__0004,8.32,2666.84,704.09,383.35,3326.74
PHARMA_RND__0005,7.0,3245.62,572.93,402.88,3645.57
PHARMA_RND__0006,9.36,3853.32,549.15,393.48,5285.67
PHARMA_RND__0007,9.52,3177.95,1319.38,375.18,2867.09
PHARMA_RND__0008,4.33,3074.23,290.82,142.03,2803.65
PHARMA_RND__0009,8.92,4663.62,1080.89,202.09,7662.73
PHARMA_RND__0010,4.23,4429.38,424.67,261.43,6825.22
PHARMA_RND__0011,6.2,5166.36,647.86,198.86,3083.93
PHARMA_RND__0012,7.25,2249.79,280.01,389.72,4439.41
PHARMA_RND__0013,4.89,4047.64,550.97,198.21,4133.73
PHARMA_RND__0014,8.48,3925.97,1198.95,112.2,6746.02
PHARMA_RND__0015,4.05,2848.69,1350.52,229.57,5061.28
PHARMA_RND__0016,5.01,3430.29,487.99,490.96,2767.1
PHARMA_RND__0017,7.48,2568.91,802.61,151.65,6433.95
PHARMA_RND__0018,8.29,1709.22,811.42,325.47,4381.33
PHARMA_RND__0019,9.5,2069.01,1335.65,244.84,3577.55
PHARMA_RND__0020,8.23,1527.57,1191.64,81.96,4252.99
PHARMA_RND__0021,8.03,4415.35,867.0,269.54,4986.54
PHARMA_RND__0022,6.37,4303.64,1071.97,365.97,4058.69
PHARMA_RND__0023,4.01,5753.03,1301.56,280.95,3451.43
PHARMA_RND__0024,4.72,4648.39,212.4,442.45,4391.01
PHARMA_RND__0025,7.21,1260.23,723.76,180.02,2115.04
PHARMA_RND__0026,8.05,5421.23,1379.42,88.81,6634.99
PHARMA_RND__0027,6.5,5313.38,1162.41,471.45,3025.67
PHARMA_RND__0028,8.38,3216.6,905.69,220.19,2263.43
PHARMA_RND__0029,7.13,3929.32,888.54,309.38,5922.19
PHARMA_RND__0030,4.45,5880.39,652.1,406.4,6643.62
PHARMA_RND__0031,5.15,3661.52,876.68,195.94,6882.97
PHARMA_RND__0032,9.04,5526.61,1052.0,372.27,4961.06
PHARMA_RND__0033,8.35,1415.19,743.87,110.94,3232.21
PHARMA_RND__0034,9.37,1955.26,1128.4,181.08,6423.37
PHARMA_RND__0035,4.71,3203.77,1319.6,115.12,6198.28
PHARMA_RND__0036,9.94,3923.78,401.09,415.05,3477.62
PHARMA_RND__0037,5.26,5081.14,787.01,150.19,7420.45
PHARMA_RND__0038,4.07,5941.31,730.43,372.83,2626.23
PHARMA_RND__0039,9.98,2944.26,1093.7,474.48,7896.13
PHARMA_RND__0040,5.69,1237.08,524.83,287.5,7161.49
PHARMA_RND__0041,8.01,5005.86,1032.33,293.01,6127.39
PHARMA_RND__0042,5.06,4021.9,1340.74,257.47,7632.5
PHARMA_RND__0043,7.48,1992.71,743.57,196.65,6333.87
PHARMA_RND__0044,9.42,3474.14,1384.32,264.04,3142.74
PHARMA_RND__0045,5.92,4711.55,1491.11,321.26,4652.94
PHARMA_RND__0046,8.02,4852.06,337.92,493.7,2429.02
PHARMA_RND__0047,5.13,3498.09,502.97,471.99,4337.94
PHARMA_RND__0048,7.75,2526.07,1435.49,437.97,6449.62
PHARMA_RND__0049,6.02,5868.71,1445.83,450.11,4318.66
PHARMA_RND__0050,5.27,4316.81,327.02,260.53,3981.77
PHARMA_RND__0051,5.88,3041.19,219.5,345.85,5572.13
PHARMA_RND__0052,5.07,2402.32,409.43,452.78,7233.23
PHARMA_RND__0053,9.41,4655.51,1494.82,226.83,2285.5
PHARMA_RND__0054,6.38,2210.92,434.0,482.79,4312.82
PHARMA_RND__0055,5.47,1858.55,853.31,237.1,2949.44
PHARMA_RND__0056,6.69,3649.17,1302.94,320.49,6172.13
PHARMA_RND__0057,5.92,2449.94,226.52,369.41,2634.35
PHARMA_RND__0058,8.47,4144.53,985.84,477.77,5988.85
PHARMA_RND__0059,9.83,1589.69,560.13,160.08,3717.09
PHARMA_RND__0060,6.63,4274.71,1321.04,385.76,3193.5
PHARMA_RND__0061,9.17,2416.48,568.5,284.37,7618.12
PHARMA_RND__0062,7.4,1001.21,1092.78,170.85,2111.15
PHARMA_RND__0063,4.94,1634.68,1076.49,399.47,4626.66
PHARMA_RND__0064,8.14,5668.08,487.94,298.5,2129.76
PHARMA_RND__0065,7.08,5336.77,245.24,347.44,4901.56
PHARMA_RND__0066,7.9,2168.05,732.02,195.31,5006.28
PHARMA_RND__0067,9.34,4891.86,575.95,266.57,3929.97
PHARMA_RND__0068,6.64,4042.86,1251.67,327.81,2792.97
PHARMA_RND__0069,9.41,5854.52,1240.47,232.21,4258.33
PHARMA_RND__0070,8.5,2868.03,794.13,139.27,6033.58
PHARMA_RND__0071,6.93,4407.3,988.47,482.74,6694.37
PHARMA_RND__0072,7.62,1317.68,985.54,280.16,5184.5
PHARMA_RND__0073,5.95,2981.24,1275.31,380.26,5539.01
PHARMA_RND__0074,9.9,5819.09,752.5,234.97,3203.7
PHARMA_RND__0075,8.0,3694.9,558.08,209.81,3723.98
PHARMA_RND__0076,4.26,2439.4,544.55,233.22,2971.37
PHARMA_RND__0077,5.96,1601.35,897.05,234.14,3495.77
PHARMA_RND__0078,7.74,4517.64,783.89,294.88,3349.32
PHARMA_RND__0079,4.34,4224.28,772.16,294.56,5116.69
PHARMA_RND__0080,4.14,2869.69,318.48,273.72,5376.13
PHARMA_RND__0081,6.7,5754.71,1134.18,110.65,7669.68
PHARMA_RND__0082,6.0,1111.01,477.86,273.23,3173.42
PHARMA_RND__0083,6.63,2518.62,456.04,126.1,5850.05
PHARMA_RND__0084,5.58,5605.35,736.59,106.76,6903.56
PHARMA_RND__0085,4.99,2604.68,496.11,469.69,5361.45
PHARMA_RND__0086,8.13,2261.26,959.02,322.23,3530.02
PHARMA_RND__0087,7.09,3671.1,682.9,346.77,3575.3
PHARMA_RND__0088,5.2,5119.01,783.59,230.81,2235.52
PHARMA_RND__0089,5.92,1515.73,898.32,459.04,3832.67
