Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PULP_BLEA_0001,3.57,3530.31,1172.46,784.59,2124.49
PULP_BLEA_0002,3.49,4250.07,580.34,722.98,3212.44
PULP_BLEA_0003,3.86,3606.82,1451.43,424.9,2094.02
PULP_BLEA_0004,4.17,2907.96,1257.29,290.6,2029.74
PULP_BLEA_0005,3.24,2188.85,1436.79,694.33,2399.74
PULP_BLEA_0006,2.8,3056.47,856.24,765.49,3307.17
PULP_BLEA_0007,3.9,4346.47,648.3,374.46,2897.87
PULP_BLEA_0008,3.17,4371.11,728.8,416.89,3436.37
PULP_BLEA_0009,4.18,2384.06,1399.93,321.59,3163.1
PULP_BLEA_0010,4.28,2797.34,624.71,312.62,1745.02
PULP_BLEA_0011,2.87,2195.87,1081.23,624.46,1509.6
PULP_BLEA_0012,3.52,4009.24,1452.34,319.95,3396.36
PULP_BLEA_0013,3.51,2442.82,714.62,548.95,2940.38
PULP_BLEA_0014,3.65,2727.01,1290.8,344.76,2725.38
PULP_BLEA_0015,4.05,3091.59,1271.4,436.9,3492.02
PULP_BLEA_0016,2.86,2956.58,538.05,245.44,2001.68
PULP_BLEA_0017,2.79,2909.07,1416.0,259.08,3303.15
PULP_BLEA_0018,3.22,3516.75,648.2,626.58,2340.64
PULP_BLEA_0019,4.37,2663.68,1140.2,264.51,3103.63
PULP_BLEA_0020,3.72,2836.04,1450.72,407.02,1992.69
PULP_BLEA_0021,3.35,3285.01,1036.51,643.11,2174.46
PULP_BLEA_0022,3.64,2325.74,1401.36,265.65,3487.73
PULP_BLEA_0023,4.29,3943.61,1405.64,742.09,1884.23
PULP_BLEA_0024,4.47,3577.83,531.56,203.13,2047.09
PULP_BLEA_0025,2.85,2449.41,1399.83,350.1,3257.82
PULP_BLEA_0026,4.49,4135.29,774.03,388.65,2307.01
PULP_BLEA_0027,3.29,3928.85,1345.32,261.43,2735.35
PULP_BLEA_0028,4.45,2380.09,1392.67,596.08,1715.3
PULP_BLEA_0029,3.46,2172.34,535.07,464.87,1934.62
PULP_BLEA_0030,3.5,2668.05,672.4,365.84,2058.02
PULP_BLEA_0031,2.83,2525.75,1116.88,592.74,1693.89
PULP_BLEA_0032,2.89,4042.77,808.92,345.02,1502.93
PULP_BLEA_0033,3.59,3871.74,617.9,701.5,2269.85
PULP_BLEA_0034,3.7,3167.15,548.29,363.79,3114.67
PULP_BLEA_0035,2.54,3875.78,1433.36,449.8,2309.48
PULP_BLEA_0036,2.63,3861.62,866.51,758.92,3028.65
PULP_BLEA_0037,4.38,3364.11,1014.34,302.1,1577.35
PULP_BLEA_0038,3.23,3693.26,1086.5,459.66,1663.36
PULP_BLEA_0039,3.04,2969.18,752.71,585.47,2788.31
PULP_BLEA_0040,3.68,2476.37,1361.08,611.35,3090.66
PULP_BLEA_0041,3.57,2298.08,1307.18,356.16,3472.49
PULP_BLEA_0042,3.16,3037.84,1133.55,424.42,2744.27
PULP_BLEA_0043,4.29,4148.47,786.17,266.8,2670.73
PULP_BLEA_0044,3.21,2174.6,1277.68,448.43,1964.18
PULP_BLEA_0045,4.18,3625.07,802.37,441.52,1664.17
PULP_BLEA_0046,3.2,4229.71,878.7,612.36,2717.84
PULP_BLEA_0047,3.71,3999.6,976.34,636.57,2961.01
PULP_BLEA_0048,3.38,3664.24,1308.54,345.07,2919.83
PULP_BLEA_0049,4.25,4302.99,557.65,574.76,2420.35
PULP_BLEA_0050,3.42,2712.89,922.47,373.62,3434.77
PULP_BLEA_0051,3.53,2526.22,1492.43,366.31,3043.5
PULP_BLEA_0052,4.37,4232.78,786.63,604.42,1627.44
PULP_BLEA_0053,3.33,4281.64,1195.64,257.83,2594.7
PULP_BLEA_0054,3.44,4452.24,1118.16,735.71,2878.63
PULP_BLEA_0055,2.75,2432.84,1311.87,350.34,2767.39
PULP_BLEA_0056,3.2,2261.77,1388.17,471.92,3125.71
PULP_BLEA_0057,2.74,4012.84,550.22,658.68,2545.81
PULP_BLEA_0058,2.54,2828.5,1345.0,265.97,2905.67
PULP_BLEA_0059,3.99,3047.17,1292.76,691.12,2689.14
PULP_BLEA_0060,2.82,2018.25,547.53,414.52,2541.85
PULP_BLEA_0061,3.38,3456.91,1051.26,428.01,3084.08
PULP_BLEA_0062,2.78,3230.98,740.39,347.14,2871.49
PULP_BLEA_0063,3.59,3835.26,1444.12,399.69,1741.94
PULP_BLEA_0064,4.47,2522.28,631.64,340.94,2703.74
PULP_BLEA_0065,4.13,3323.2,955.38,438.31,2621.83
PULP_BLEA_0066,3.12,2166.93,1230.07,596.48,2371.61
PULP_BLEA_0067,4.39,3917.65,661.64,528.8,3052.96
PULP_BLEA_0068,4.43,2917.0,1220.25,643.27,2607.43
PULP_BLEA_0069,3.82,3264.22,1134.88,760.49,3022.53
PULP_BLEA_0070,2.64,2608.58,871.79,621.41,2402.24
PULP_BLEA_0071,3.89,3597.18,597.01,245.61,1872.6
PULP_BLEA_0072,2.57,3657.45,1395.32,612.98,1607.57
PULP_BLEA_0073,4.39,3171.18,784.59,204.53,2967.13
PULP_BLEA_0074,3.81,2100.21,859.83,776.47,3386.91
PULP_BLEA_0075,3.03,2651.27,1269.36,330.51,2093.59
PULP_BLEA_0076,2.55,3115.23,716.14,427.11,1809.0
PULP_BLEA_0077,2.55,2604.85,851.58,317.47,3208.5
PULP_BLEA_0078,2.94,4305.24,827.84,726.18,2948.65
PULP_BLEA_0079,3.12,3287.87,1466.24,427.08,2879.38
PULP_BLEA_0080,4.42,2747.03,577.46,499.08,3220.87
PULP_BLEA_0081,2.51,2895.48,713.92,758.67,3378.59
PULP_BLEA_0082,3.06,2913.79,727.86,529.83,2402.32
PULP_BLEA_0083,3.37,4062.98,713.77,309.17,2664.1
PULP_BLEA_0084,2.89,3191.04,1106.83,708.59,1687.9
PULP_BLEA_0085,3.5,2153.56,813.91,315.35,2977.29
PULP_BLEA_0086,3.86,3697.36,797.64,355.68,2536.25
PULP_BLEA_0087,3.95,3963.14,1000.42,718.62,1652.17
PULP_BLEA_0088,2.81,2997.59,1161.82,743.44,2662.39
PULP_BLEA_0089,4.19,4287.19,922.56,503.41,1915.82
PULP_BLEA_0090,4.14,4112.94,895.36,431.26,1603.85
PULP_BLEA_0091,3.28,3012.09,1046.06,722.54,2988.63
PULP_BLEA_0092,3.95,2985.67,694.4,347.32,2658.34
PULP_BLEA_0093,2.77,3171.68,1295.99,594.8,3100.74
PULP_BLEA_0094,2.83,2830.28,831.9,438.57,1820.71
PULP_BLEA_0095,4.38,3045.38,946.7,246.16,1987.39
PULP_BLEA_0096,3.12,3329.01,774.13,326.01,2101.26
PULP_BLEA_0097,4.32,2981.97,552.68,640.8,2950.08
PULP_BLEA_0098,2.8,2998.23,514.88,536.82,2319.23
PULP_BLEA_0099,3.37,3047.34,1197.97,757.12,2032.45
PULP_BLEA_0100,3.13,2270.34,1129.63,361.76,2304.99
PULP_BLEA_0101,3.24,3115.21,1156.94,742.73,3281.44
PULP_BLEA_0102,4.15,4473.2,507.99,383.3,1727.91
PULP_BLEA_0103,3.14,3420.64,1125.33,439.14,1914.72
PULP_BLEA_0104,2.76,2393.79,1009.11,208.21,1579.16
PULP_BLEA_0105,2.82,2824.05,1102.47,392.86,1755.7
PULP_BLEA_0106,3.91,3918.19,1379.82,498.66,3380.21
PULP_BLEA_0107,3.34,4128.11,1032.68,417.12,2023.6
PULP_BLEA_0108,2.79,3868.96,881.61,681.38,2113.87
PULP_BLEA_0109,2.74,4137.43,681.61,355.08,2871.51
PULP_BLEA_0110,2.58,3831.38,631.14,515.2,2576.85
PULP_BLEA_0111,3.75,2334.05,869.18,542.44,1764.47
PULP_BLEA_0112,3.27,3657.9,1454.12,675.46,2173.6
PULP_BLEA_0113,4.13,2957.82,1324.09,212.28,3222.39
PULP_BLEA_0114,3.15,4409.74,706.27,434.32,3082.85
PULP_BLEA_0115,2.93,3560.67,1429.74,636.96,2464.16
PULP_BLEA_0116,3.79,4033.3,786.8,424.64,3028.9
PULP_BLEA_0117,3.01,3262.58,516.4,340.45,1545.36
PULP_BLEA_0118,3.57,3684.34,795.84,243.87,2171.2
PULP_BLEA_0119,3.72,2793.95,1087.21,557.32,2960.26
PULP_BLEA_0120,4.21,4144.33,811.41,358.15,3487.22
PULP_BLEA_0121,2.83,4294.16,1370.81,458.75,2523.03
PULP_BLEA_0122,3.28,4016.7,861.7,543.3,2879.3
PULP_BLEA_0123,3.3,2162.42,1445.92,792.57,1966.32
PULP_BLEA_0124,3.69,3274.95,1438.05,711.88,1985.53
PULP_BLEA_0125,3.93,3624.16,646.5,487.03,2790.87
PULP_BLEA_0126,2.72,4194.88,581.35,585.55,1782.69
PULP_BLEA_0127,2.83,3211.63,1362.15,709.53,2732.53
PULP_BLEA_0128,3.89,3636.39,1414.89,620.87,2210.79
