Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PULP_CHEM_0001,11.09,9385.02,2544.88,1769.36,4786.56
PULP_CHEM_0002,9.26,8477.64,2674.26,2083.64,3849.53
PULP_CHEM_0003,10.86,6570.25,2167.85,1040.34,5323.22
PULP_CHEM_0004,9.9,8887.52,2488.65,2342.97,3574.24
PULP_CHEM_0005,9.9,9496.38,2098.08,1810.45,5094.48
PULP_CHEM_0006,10.52,8320.96,3264.63,1336.62,4546.01
PULP_CHEM_0007,9.98,8253.36,2122.34,2369.32,5970.02
PULP_CHEM_0008,10.02,8091.99,2724.77,2408.18,5060.28
PULP_CHEM_0009,10.27,8899.2,2553.72,2474.81,5351.13
PULP_CHEM_0010,10.78,9376.22,2363.41,1825.95,5314.05
PULP_CHEM_0011,11.4,7770.39,3101.57,1254.86,3694.76
PULP_CHEM_0012,10.14,6971.78,2511.05,2346.53,4426.04
PULP_CHEM_0013,10.07,9224.43,2001.9,1141.96,3724.21
PULP_CHEM_0014,9.28,9661.95,3498.35,1858.44,3745.74
PULP_CHEM_0015,9.54,7323.32,3380.23,1260.45,4777.54
PULP_CHEM_0016,11.39,6074.75,2979.88,1347.51,4452.52
PULP_CHEM_0017,11.36,6340.04,2555.7,1569.47,4242.96
PULP_CHEM_0018,11.2,9705.71,2117.46,1194.03,5961.59
PULP_CHEM_0019,10.62,8582.12,2962.15,2457.31,3894.24
PULP_CHEM_0020,9.53,7607.02,2252.06,2082.54,4473.65
PULP_CHEM_0021,10.59,6641.62,2634.19,1342.52,3717.08
PULP_CHEM_0022,9.35,7836.69,2161.34,1931.9,5239.8
PULP_CHEM_0023,10.15,8850.74,3153.75,2339.99,4329.0
PULP_CHEM_0024,11.18,9797.08,3393.23,2402.98,3707.33
PULP_CHEM_0025,9.65,8955.29,2980.13,2468.64,4070.49
PULP_CHEM_0026,10.66,9376.56,2174.14,1580.17,5694.33
PULP_CHEM_0027,11.16,7949.95,2572.6,1240.62,5613.92
PULP_CHEM_0028,9.37,9807.83,3295.17,1347.57,5884.62
PULP_CHEM_0029,10.41,7093.59,2230.22,1918.57,4414.9
PULP_CHEM_0030,9.4,8190.09,2130.66,2286.2,4425.05
PULP_CHEM_0031,9.43,7836.05,2925.71,1820.49,3551.23
PULP_CHEM_0032,9.26,6944.16,3351.97,1142.52,5841.9
PULP_CHEM_0033,9.51,6840.14,3275.52,1412.82,4930.04
PULP_CHEM_0034,10.14,7778.47,3102.15,2385.58,5627.16
PULP_CHEM_0035,10.99,6335.54,2006.39,2051.71,4612.52
PULP_CHEM_0036,11.48,6072.93,2714.02,2277.43,5339.72
PULP_CHEM_0037,11.01,8140.9,2610.05,1181.15,3575.39
PULP_CHEM_0038,9.94,9389.96,2503.7,2001.77,5126.99
PULP_CHEM_0039,10.29,9207.34,2275.51,1648.88,4299.31
PULP_CHEM_0040,9.15,6577.45,3455.11,2121.96,4482.36
PULP_CHEM_0041,10.78,6327.66,3018.59,2191.63,4476.52
PULP_CHEM_0042,9.18,6215.4,2750.12,1517.99,5238.41
PULP_CHEM_0043,11.21,7242.62,2215.27,1306.62,4937.52
PULP_CHEM_0044,10.82,8367.5,3027.2,1752.41,4024.94
PULP_CHEM_0045,11.08,8475.23,3164.34,1325.09,5527.91
PULP_CHEM_0046,10.78,9597.45,2875.64,2077.88,4859.24
PULP_CHEM_0047,10.74,9110.49,3116.04,1794.78,3842.67
PULP_CHEM_0048,11.33,9088.39,2294.99,1130.8,5052.45
PULP_CHEM_0049,11.2,8781.96,2271.24,2477.83,4591.88
PULP_CHEM_0050,9.24,7343.09,3082.81,1121.2,4208.44
PULP_CHEM_0051,10.14,9616.77,2359.82,2451.17,3854.31
