Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
BEAM_0001,11.89,2858.42,6587.96,5756.57,15194.69,2.17,492.31,221.21,17329.03,32.27,Critical
BEAM_0002,11.19,4187.15,8070.01,3298.39,11980.44,3.72,173.0,93.86,13966.51,34.51,Critical
BEAM_0003,11.77,4548.3,10071.19,6055.12,15224.43,1.68,244.72,107.07,15937.8,36.1,Critical
BEAM_0004,10.68,3301.1,8016.04,5468.43,12258.3,1.63,270.54,273.35,16819.37,34.03,Critical
BEAM_0005,11.75,2346.86,7221.0,5074.13,16663.09,1.33,293.21,296.39,19324.89,35.81,Critical
BEAM_0006,10.74,9759.36,26176.18,14382.25,11427.64,4.87,266.81,220.33,15287.08,34.17,Critical
BEAM_0007,12.18,2249.58,10345.78,4218.33,9942.23,2.91,138.29,271.33,12066.13,37.57,Critical
BEAM_0008,10.53,3783.3,8897.5,3794.8,9530.71,3.51,227.51,222.99,11219.47,32.22,Critical
BEAM_0009,12.35,4525.01,7501.78,3217.96,11047.68,2.05,381.98,298.84,11908.93,38.2,Critical
BEAM_0010,11.69,4075.11,6057.89,4994.38,10408.56,1.78,305.25,216.66,9918.88,28.09,Critical
BEAM_0011,11.14,3984.69,10925.54,5766.29,16544.52,1.99,226.72,138.57,16305.3,39.27,Critical
BEAM_0012,11.18,3657.11,9049.86,5607.67,8026.88,4.94,462.14,101.91,8398.08,34.32,Critical
BEAM_0013,12.3,4950.89,6802.79,5821.8,16069.69,2.03,392.43,90.27,19289.24,39.85,Critical
BEAM_0014,12.47,5439.23,19314.8,6327.19,12506.36,9.33,137.33,124.22,17056.08,35.1,Critical
BEAM_0015,11.92,4517.73,6161.57,6904.99,10865.37,1.6,366.1,77.85,13390.88,40.21,Critical
BEAM_0016,11.89,3320.98,8067.5,6825.48,13656.42,0.52,333.07,253.71,14592.34,40.84,Critical
BEAM_0017,12.0,3722.19,10261.51,3395.74,16593.89,4.13,463.95,82.16,15613.03,28.21,Critical
BEAM_0018,11.3,3272.92,8935.53,3611.22,10014.0,4.08,287.2,251.98,9049.78,34.83,Critical
BEAM_0019,12.36,3746.53,6442.67,6588.79,11789.86,3.38,111.73,208.98,10800.68,37.92,Critical
BEAM_0020,11.45,2365.26,8798.45,3333.87,14533.65,4.98,407.76,193.44,13826.12,37.2,Critical
BEAM_0021,11.82,2147.29,10546.1,5593.58,12258.68,3.96,264.63,170.26,12146.08,31.14,Critical
BEAM_0022,12.19,2560.71,7921.04,7945.17,10366.0,4.59,467.36,72.82,11732.51,34.04,Critical
BEAM_0023,11.13,2142.02,6691.8,3477.65,10382.5,4.06,457.99,60.81,10911.73,41.69,Critical
BEAM_0024,11.58,3878.93,5038.82,5424.55,17883.29,1.94,138.82,165.48,24705.81,31.47,Critical
BEAM_0025,12.1,7475.7,10012.63,8353.06,15156.01,5.81,176.4,291.87,18571.8,39.85,Critical
BEAM_0026,12.49,2709.39,7620.05,4070.06,9054.46,1.24,220.24,208.61,9422.23,31.8,Critical
BEAM_0027,10.51,3097.16,8737.2,3810.08,13974.33,1.54,352.82,56.55,18778.66,26.26,Critical
BEAM_0028,10.75,4331.49,5321.27,6554.99,17710.46,4.37,384.06,289.63,19745.51,39.97,Critical
BEAM_0029,11.21,4789.29,6041.44,7700.15,16327.16,4.25,149.57,199.12,14828.27,37.54,Critical
BEAM_0030,10.52,2254.47,6578.49,7375.62,11635.76,2.75,327.24,106.37,13800.87,36.58,Critical
BEAM_0031,11.1,3255.88,8171.62,7661.75,13874.94,4.75,322.41,175.14,12511.95,33.69,Critical
BEAM_0032,12.35,2595.1,5364.64,5033.89,11723.96,4.3,110.64,280.04,14543.0,40.47,Critical
BEAM_0033,11.72,4435.86,7348.81,4747.83,11898.74,3.8,247.72,110.55,16287.4,40.53,Critical
