Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
CHRO_0001,5.48,3108.37,6308.47,3286.18,22350.22,84.7,37.76,41.12,26529.9,27.0,Critical
CHRO_0002,5.48,2393.28,5143.33,2794.8,13731.14,131.08,102.13,74.96,17419.18,35.47,Critical
CHRO_0003,3.42,1928.42,6723.39,3622.7,16663.76,132.64,95.89,123.8,20393.11,38.51,Critical
CHRO_0004,4.51,3348.95,5711.22,3590.64,19718.82,123.18,91.81,23.0,25450.28,29.67,Critical
CHRO_0005,3.38,2828.89,8513.31,2875.04,13505.91,153.04,109.87,115.52,17614.67,40.96,Critical
CHRO_0006,4.31,3305.3,8012.83,2374.88,14907.27,57.44,86.59,135.02,14041.28,35.26,Critical
CHRO_0007,4.75,3130.44,6787.03,3150.52,17851.44,54.55,26.83,53.27,23329.2,27.94,Critical
CHRO_0008,3.18,1944.08,5448.62,2505.58,22495.06,132.36,95.05,135.77,28877.02,30.19,Critical
CHRO_0009,4.37,2406.36,8110.39,2124.91,19127.95,27.11,52.44,81.1,19190.22,36.76,Critical
CHRO_0010,3.92,1876.07,8343.47,2001.36,18641.64,107.39,64.42,50.77,24422.1,36.29,Critical
CHRO_0011,5.01,2951.56,7821.88,1980.3,19132.88,161.84,69.7,100.48,19822.59,33.3,Critical
CHRO_0012,5.1,1919.34,7556.45,3088.97,11127.55,139.61,65.61,43.65,12392.24,28.03,Critical
CHRO_0013,5.37,3449.12,6129.73,2024.86,21949.21,76.9,55.66,72.06,27608.72,35.8,Critical
CHRO_0014,5.48,3179.84,8873.4,3432.56,16338.0,185.84,60.25,33.06,16512.26,41.66,Critical
CHRO_0015,3.45,4151.41,20302.59,4736.94,19813.29,355.44,30.76,82.02,21035.85,36.14,Critical
CHRO_0016,4.86,3154.26,7920.34,3182.48,19390.18,93.55,83.87,35.27,22979.67,35.29,Critical
CHRO_0017,4.24,3106.75,5847.46,2304.96,11595.36,77.2,56.47,31.46,14713.74,26.54,Critical
CHRO_0018,5.27,1706.33,5173.86,1928.36,19574.6,198.23,103.4,28.89,18706.81,34.58,Critical
CHRO_0019,4.95,2924.73,6551.01,1564.12,24789.5,156.95,81.17,112.52,29703.93,37.24,Critical
CHRO_0020,3.82,3120.32,4340.98,2708.04,24372.33,122.72,42.19,90.68,24967.41,31.31,Critical
CHRO_0021,3.0,3272.3,4662.64,3480.65,21234.76,23.49,21.81,64.55,22652.68,34.35,Critical
CHRO_0022,3.29,2574.06,7892.86,3393.9,22290.01,143.91,48.64,128.48,26922.95,30.26,Critical
CHRO_0023,3.92,2537.32,4143.46,3683.47,16074.26,87.33,39.46,82.76,16407.73,39.31,Critical
CHRO_0024,5.49,2204.02,4765.74,1640.99,18548.65,155.6,110.35,27.92,25550.3,31.75,Critical
CHRO_0025,3.15,1709.25,7501.73,2426.75,18781.09,175.49,63.06,96.9,25033.32,41.8,Critical
CHRO_0026,4.86,2829.6,5801.64,3864.74,18401.52,89.47,62.13,23.82,23161.65,37.47,Critical
CHRO_0027,3.79,2073.36,7866.42,2048.18,19720.13,167.25,55.3,26.44,21277.8,36.8,Critical
CHRO_0028,4.1,3348.54,6620.28,3925.56,19950.97,167.17,83.85,85.56,23646.21,39.19,Critical
CHRO_0029,4.41,3347.84,5519.9,2553.42,16987.64,138.9,97.86,101.87,22699.12,41.47,Critical
CHRO_0030,3.09,1504.86,5250.5,1762.63,22163.27,165.01,32.19,86.55,30092.52,28.29,Critical
CHRO_0031,4.61,2991.17,8556.86,2982.47,17510.55,103.53,52.11,79.98,17345.8,36.82,Critical
CHRO_0032,3.53,1599.84,6349.93,3499.56,13453.65,165.94,92.1,101.67,16073.09,30.36,Critical
CHRO_0033,4.21,1995.62,4725.07,2960.92,21569.58,99.2,93.68,111.64,24290.65,37.94,Critical
CHRO_0034,3.79,3108.93,5673.97,3206.89,20156.31,94.86,91.1,135.72,18822.9,30.73,Critical
CHRO_0035,3.3,1857.37,4956.12,3910.87,20505.26,124.46,78.68,32.14,22206.1,40.3,Critical
CHRO_0036,3.03,1538.85,5372.1,3086.93,23011.84,26.07,71.88,101.63,21409.94,33.56,Critical
CHRO_0037,5.26,2211.28,6312.28,2922.76,12059.81,104.32,72.56,40.15,15397.27,27.92,Critical
CHRO_0038,3.59,2790.94,5444.92,1736.23,17231.71,82.89,64.36,42.87,23878.5,28.27,Critical
CHRO_0039,3.73,2489.73,8579.54,1721.36,19267.28,50.16,85.12,94.23,25116.36,26.69,Critical
CHRO_0040,3.29,2910.36,5079.22,1503.49,23203.24,194.5,48.14,64.5,24445.6,36.33,Critical
CHRO_0041,4.08,1654.78,7154.9,3433.99,24099.9,92.85,28.49,43.13,27314.7,37.04,Critical
CHRO_0042,4.64,3077.75,6697.35,3587.63,13268.89,76.49,32.34,75.59,15688.78,33.37,Critical
CHRO_0043,3.81,1826.33,7601.38,2789.87,21229.41,131.39,79.14,148.4,27958.61,34.92,Critical
CHRO_0044,3.73,1873.36,8781.95,3971.64,24019.29,46.45,90.52,102.75,26564.98,29.78,Critical
CHRO_0045,5.08,3044.95,7302.79,3079.43,22447.0,87.94,94.19,59.23,30740.65,31.23,Critical
CHRO_0046,4.91,2967.18,8041.57,3635.39,19126.03,55.81,44.31,41.11,24356.88,35.02,Critical
CHRO_0047,4.18,3279.79,4390.26,2472.4,12147.93,20.44,57.02,85.41,11291.22,32.65,Critical
CHRO_0048,3.55,2438.09,7819.09,2567.13,12141.26,120.98,33.42,130.58,14753.45,26.73,Critical
CHRO_0049,4.31,2453.19,8202.11,3608.79,20975.42,167.97,81.05,97.14,22526.69,32.98,Critical
CHRO_0050,4.39,2411.6,7363.38,2441.05,20362.39,81.75,75.83,126.7,26307.15,31.48,Critical
CHRO_0051,4.84,2332.08,4336.19,1595.63,23138.46,40.99,96.14,70.67,23339.95,29.78,Critical
CHRO_0052,4.28,3382.92,6814.24,2786.12,15415.0,43.99,32.58,91.34,16962.12,31.14,Critical
CHRO_0053,3.59,3056.0,8946.46,2193.77,21065.41,48.33,91.14,54.81,28263.82,28.29,Critical
CHRO_0054,4.32,2881.64,4724.29,3307.39,23473.38,152.26,53.96,57.43,21245.21,37.2,Critical
CHRO_0055,5.43,3204.03,4576.81,3604.5,19098.46,36.87,85.93,28.6,17450.31,37.69,Critical
CHRO_0056,5.05,2216.48,4610.74,2582.38,18538.99,119.83,91.03,130.5,25722.97,33.56,Critical
CHRO_0057,3.76,2133.28,5051.7,3106.44,16388.29,140.94,41.09,101.61,22002.68,39.55,Critical
CHRO_0058,5.45,2457.14,4712.36,2142.62,22210.44,98.32,91.04,110.01,27520.83,26.46,Critical
CHRO_0059,4.69,2741.86,5408.27,1554.57,15869.01,116.96,94.6,130.62,21662.32,29.58,Critical
CHRO_0060,3.54,2414.63,5547.91,1777.47,24509.05,143.54,93.05,121.41,23335.91,40.18,Critical
CHRO_0061,4.63,1923.65,6293.71,2285.91,24021.47,108.31,111.3,60.35,32360.31,37.82,Critical
CHRO_0062,5.31,1966.03,5638.83,3759.95,10192.01,42.5,24.61,123.35,14132.88,37.5,Critical
CHRO_0063,5.3,3346.39,7479.09,3027.51,15432.31,108.25,71.51,143.3,14104.62,40.26,Critical
CHRO_0064,3.39,2916.84,6788.21,1574.89,11330.12,52.39,55.22,23.47,12349.82,26.75,Critical
CHRO_0065,4.89,3150.61,6776.27,1932.72,20392.11,42.27,115.64,41.03,25163.96,37.9,Critical
CHRO_0066,4.41,1613.42,8249.21,3487.31,20563.24,50.57,33.21,100.97,19969.22,38.64,Critical
CHRO_0067,3.85,1782.58,5443.02,2050.64,15623.8,135.73,90.88,130.36,18606.75,35.0,Critical
CHRO_0068,3.45,1673.05,8705.03,2245.01,14596.04,196.54,21.03,140.24,14100.63,34.35,Critical
CHRO_0069,3.18,1557.59,6846.49,2722.62,13723.36,122.34,99.38,107.93,14183.68,35.81,Critical
CHRO_0070,3.63,2580.93,6148.14,2734.52,18055.64,73.07,66.15,132.58,24180.43,28.1,Critical
CHRO_0071,4.68,2624.9,7425.56,2007.74,18221.23,169.67,93.96,145.23,24143.78,38.56,Critical
CHRO_0072,5.01,2289.32,6019.47,1988.96,23424.1,120.12,118.61,29.11,30629.86,26.4,Critical
CHRO_0073,4.73,2047.55,8415.22,2635.01,18243.65,130.38,104.1,127.32,23553.81,38.78,Critical
CHRO_0074,4.54,1709.94,4909.19,3218.61,12897.28,105.71,25.96,27.88,11999.44,28.69,Critical
CHRO_0075,4.23,2327.04,7831.16,2609.27,19086.14,64.34,106.68,93.39,25354.39,29.99,Critical
CHRO_0076,5.47,2020.04,7270.82,1902.4,10754.74,133.46,106.63,30.05,12595.51,39.71,Critical
CHRO_0077,4.8,2697.64,7266.99,3219.89,23718.18,66.46,102.37,112.34,23793.57,38.94,Critical
CHRO_0078,3.48,1743.11,6665.14,1501.49,23113.51,77.15,63.28,59.63,30264.89,32.76,Critical
CHRO_0079,4.68,1851.6,4300.21,2948.14,18230.57,135.53,100.55,68.24,24204.27,26.93,Critical
CHRO_0080,3.37,2524.53,6554.07,2627.27,12142.97,140.29,58.76,55.89,12067.42,40.34,Critical
CHRO_0081,4.99,1837.58,4052.57,1806.69,11657.53,157.4,60.77,68.02,13012.23,37.88,Critical
CHRO_0082,4.66,2947.21,6959.7,2258.74,14437.08,68.99,113.51,35.43,14997.19,39.26,Critical
CHRO_0083,5.46,1934.78,8855.84,3325.48,15730.92,81.68,106.75,56.11,16601.21,26.41,Critical
CHRO_0084,4.27,1926.62,8969.72,1881.11,23221.78,46.56,59.63,101.65,31467.03,40.28,Critical
CHRO_0085,3.51,1850.34,7591.42,2107.26,24288.83,25.59,38.84,34.59,30066.44,26.4,Critical
CHRO_0086,4.38,3060.22,4606.19,1858.98,12355.43,44.83,94.97,63.96,14367.85,26.42,Critical
CHRO_0087,4.99,1526.72,8818.49,3928.07,10492.34,34.06,74.7,65.41,12774.38,36.46,Critical
CHRO_0088,3.07,1941.81,7365.91,1994.9,10714.9,116.78,35.2,136.81,14080.52,38.14,Critical
CHRO_0089,5.08,3100.86,7950.88,3992.85,21280.88,107.43,87.06,37.65,19609.98,30.49,Critical
CHRO_0090,4.19,1866.08,7878.05,3757.62,13177.89,154.49,46.16,65.14,13588.13,29.39,Critical
CHRO_0091,3.7,2226.49,4942.8,3655.64,10788.41,140.27,66.02,90.63,14556.51,28.91,Critical
CHRO_0092,3.65,2312.64,5157.55,3490.85,12600.95,122.62,25.13,30.86,11415.59,35.49,Critical
CHRO_0093,4.36,2483.61,5497.11,2825.13,17320.09,137.24,52.97,50.01,21875.98,37.16,Critical
CHRO_0094,3.38,2949.03,7292.98,3765.41,20646.95,190.76,95.3,30.53,27123.32,29.83,Critical
CHRO_0095,4.73,2546.61,8240.78,1748.17,20070.83,80.5,49.77,43.92,21712.6,26.05,Critical
CHRO_0096,4.93,2465.12,7704.25,2245.48,20631.99,140.58,100.74,55.48,28584.46,34.42,Critical
