Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
VEGE_0001,5.63,2226.33,6709.15,2251.33,8048.58,0.49,75.66,70.84,7395.28,32.71,Critical
VEGE_0002,5.14,2504.4,5955.02,1815.91,9738.94,1.04,33.78,76.15,10217.44,30.21,Critical
VEGE_0003,5.44,2398.59,3190.88,1843.4,4342.17,1.95,22.48,91.17,4575.48,28.2,Critical
VEGE_0004,5.68,2700.75,3873.27,2270.5,8190.82,1.75,51.99,29.3,10262.83,30.39,Critical
VEGE_0005,4.68,2093.63,3675.34,2016.33,5448.45,1.17,24.47,92.63,7369.86,37.68,Critical
VEGE_0006,5.06,1711.35,4078.54,1485.34,4254.18,1.2,50.32,18.9,5012.46,29.22,Critical
VEGE_0007,5.65,2175.07,4036.16,1391.13,7736.69,0.86,72.47,97.22,10759.15,28.3,Critical
VEGE_0008,6.21,1428.5,3174.16,1041.02,9244.25,0.24,50.25,62.3,11553.19,32.82,Critical
VEGE_0009,5.05,2044.41,5231.35,1448.1,5287.07,1.97,53.59,36.08,6467.8,35.33,Critical
VEGE_0010,4.81,1786.78,3023.89,2153.49,6651.0,0.24,37.43,16.09,7450.3,39.65,Critical
VEGE_0011,5.53,1360.51,4967.96,1228.2,6185.11,1.53,68.94,15.31,6844.37,27.54,Critical
VEGE_0012,5.5,2392.31,5534.69,1327.78,8485.54,1.24,22.13,62.35,11876.36,35.85,Critical
VEGE_0013,5.34,1559.22,4375.84,2097.05,4812.97,1.52,63.89,61.83,4530.03,36.56,Critical
VEGE_0014,5.78,2149.64,6241.47,1233.17,8327.25,1.46,58.0,88.62,10107.76,36.54,Critical
VEGE_0015,6.14,1525.01,3615.07,2219.27,7375.53,0.78,18.74,19.58,9606.82,27.36,Critical
VEGE_0016,5.0,1401.01,3506.86,1953.0,8670.35,1.22,68.69,60.64,10811.67,26.04,Critical
VEGE_0017,6.03,1518.12,4318.02,1742.53,4597.52,1.62,68.19,20.65,5257.58,39.74,Critical
VEGE_0018,5.11,2870.2,3527.57,1131.91,4848.98,0.44,26.78,20.24,6436.66,41.38,Critical
VEGE_0019,4.89,1598.98,5204.44,1717.07,7998.92,0.27,43.23,24.53,10932.05,39.01,Critical
VEGE_0020,5.08,1586.98,5566.9,1131.01,4330.8,0.54,60.22,46.45,4540.45,34.22,Critical
VEGE_0021,5.89,2171.01,6587.49,2098.22,9608.49,0.13,73.14,37.87,12406.47,41.64,Critical
VEGE_0022,4.57,2974.81,5370.52,2316.41,7881.54,1.33,20.37,72.08,9937.32,27.55,Critical
VEGE_0023,4.67,1989.06,4260.94,2272.36,7943.92,0.44,23.83,37.22,9409.38,34.04,Critical
VEGE_0024,5.46,1256.27,5167.11,1029.75,6661.75,0.49,31.34,68.72,7315.36,35.45,Critical
VEGE_0025,5.97,2492.8,5160.48,2302.62,9338.35,1.37,15.4,20.07,11256.98,29.72,Critical
VEGE_0026,6.41,3987.7,10470.36,2991.6,7637.84,5.31,58.94,45.6,8197.35,30.28,Critical
VEGE_0027,6.38,2246.16,3630.65,1391.35,6644.97,0.11,35.04,48.91,6192.48,38.77,Critical
VEGE_0028,5.86,2507.79,3320.92,1833.39,7134.0,1.16,51.92,32.86,9048.61,33.37,Critical
VEGE_0029,4.9,2370.61,4342.27,1526.58,5509.58,1.1,44.1,48.46,6068.78,28.89,Critical
VEGE_0030,5.48,1818.28,5345.14,1009.6,4843.16,1.06,44.42,37.08,5400.97,34.51,Critical
VEGE_0031,5.32,2099.87,3817.65,2179.85,5132.27,1.03,57.13,76.63,5588.28,36.76,Critical
VEGE_0032,5.51,5442.93,11412.78,1727.01,4636.56,0.99,43.25,29.12,4654.53,31.61,Critical
VEGE_0033,5.42,2990.65,9261.72,3968.79,9031.55,0.7,79.87,18.11,11782.82,37.59,Critical
VEGE_0034,5.53,2265.33,6916.53,1495.6,7482.6,1.25,23.38,97.25,8196.98,32.32,Critical
VEGE_0035,6.32,2554.0,4458.09,1376.67,4032.68,0.64,20.11,31.75,5561.79,29.33,Critical
VEGE_0036,4.52,1576.29,5485.06,2333.14,6380.65,1.7,53.77,20.76,7555.58,35.39,Critical
VEGE_0037,5.08,2222.02,6702.7,1304.64,9520.15,1.99,28.02,27.19,8579.51,34.91,Critical
VEGE_0038,5.08,2950.12,5210.05,1777.84,5772.11,0.38,21.65,89.25,7207.33,26.08,Critical
VEGE_0039,6.02,2638.87,5888.6,1227.1,6551.82,1.23,74.02,93.62,6984.25,26.59,Critical
VEGE_0040,6.42,2903.62,5220.2,2082.02,5558.79,0.93,25.0,32.22,5910.22,30.51,Critical
VEGE_0041,5.35,2946.78,4646.03,1172.39,4684.76,1.26,55.52,20.92,4544.19,37.36,Critical
VEGE_0042,6.38,2021.0,3853.51,1904.54,4461.46,0.75,25.24,32.76,5272.88,33.29,Critical
VEGE_0043,6.15,2075.6,4654.47,1758.1,7984.53,1.11,12.18,54.23,7201.85,37.97,Critical
VEGE_0044,5.06,3015.6,11350.06,5734.12,4203.09,1.67,53.6,28.16,4598.4,36.27,Critical
VEGE_0045,5.82,2756.79,4416.32,1737.74,4462.2,0.29,45.26,49.62,6073.43,31.51,Critical
VEGE_0046,5.34,1755.6,6414.08,1651.99,7981.87,0.12,78.99,76.15,8389.46,36.09,Critical
VEGE_0047,5.8,1473.88,3119.5,2401.45,9015.22,1.71,50.81,78.44,8491.06,27.75,Critical
VEGE_0048,6.41,2780.57,6052.97,2098.37,5293.9,0.89,46.44,71.46,5373.15,30.18,Critical
VEGE_0049,5.09,2272.73,4739.74,1559.47,7250.18,1.25,38.24,86.76,9299.14,40.11,Critical
VEGE_0050,6.31,2715.4,4386.83,1041.48,4382.16,0.71,12.65,56.12,4128.23,30.84,Critical
VEGE_0051,6.25,1655.02,4606.69,2309.38,8416.01,1.82,71.29,24.49,9758.83,41.56,Critical
VEGE_0052,4.7,1633.26,4971.94,1002.46,6108.29,0.57,37.44,37.91,8433.17,35.76,Critical
VEGE_0053,5.65,1798.56,6084.5,2464.4,7509.06,1.08,35.09,65.86,9016.74,33.65,Critical
VEGE_0054,5.55,1898.58,5417.64,2038.68,9419.18,0.86,31.13,92.32,10029.43,40.64,Critical
VEGE_0055,5.75,2639.91,6325.74,1441.13,6620.68,0.56,69.36,88.45,7643.76,36.02,Critical
VEGE_0056,5.96,2806.61,3470.59,1354.27,8727.41,0.56,70.02,34.66,10134.15,38.53,Critical
VEGE_0057,4.76,1501.73,4032.55,1086.92,5189.75,0.41,24.1,71.77,4757.79,40.17,Critical
VEGE_0058,4.86,2472.01,4390.45,1757.6,8052.35,1.2,30.54,18.98,10214.6,35.06,Critical
VEGE_0059,5.05,2328.29,6312.7,1744.47,7237.84,1.53,62.04,15.96,6525.8,35.58,Critical
VEGE_0060,6.22,2687.61,6944.87,1073.51,5271.56,0.5,36.78,68.73,6774.39,31.4,Critical
