Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Conductivity (uS/cm),Temperature (°C),Color (Pt-Co),Status
COTT_0001,9.75,1450.71,3329.98,838.79,3936.11,3455.89,29.16,2178.82,Critical
COTT_0002,10.2,2446.05,3035.22,2519.34,7994.66,7244.52,31.64,540.17,Critical
COTT_0003,9.58,1111.85,1848.73,562.93,5198.17,5343.9,43.7,579.22,Critical
COTT_0004,10.03,1092.41,1616.13,846.79,4023.14,3349.37,46.98,2417.52,Critical
COTT_0005,10.62,804.61,1744.18,915.81,5640.91,4856.93,37.9,182.53,Critical
COTT_0006,10.82,758.78,3156.31,580.54,6120.41,6569.37,31.7,2427.0,Critical
COTT_0007,10.55,1439.5,3737.07,838.11,8531.25,7202.48,31.92,208.55,Critical
COTT_0008,9.65,888.68,2178.37,1045.86,5140.52,4834.49,38.85,438.22,Critical
COTT_0009,10.6,574.55,3967.22,995.02,4192.29,3365.41,44.31,1796.46,Critical
COTT_0010,10.46,2302.25,2688.32,1237.63,3695.21,4550.84,40.47,894.16,Critical
COTT_0011,10.46,1137.56,3718.03,724.99,3717.57,4299.82,43.22,1447.07,Critical
COTT_0012,10.54,993.8,2806.83,684.79,3152.51,2692.07,28.63,1627.38,Moderate
COTT_0013,9.63,1675.46,7291.46,1517.78,5462.3,6433.36,32.58,284.75,Critical
COTT_0014,10.62,1133.4,3678.65,1023.3,4119.42,5133.95,38.79,2037.86,Critical
COTT_0015,10.79,818.0,1775.13,505.14,5562.65,6725.28,45.21,116.69,Critical
COTT_0016,10.02,917.41,2055.27,407.88,5025.69,6389.94,34.46,1345.1,Critical
COTT_0017,10.41,863.63,3929.46,1166.2,4510.69,4730.02,34.02,783.62,Critical
COTT_0018,9.07,1109.56,2756.7,346.33,4671.88,5859.16,32.79,447.75,Critical
COTT_0019,9.98,1485.65,2105.14,904.92,7569.72,6955.2,42.56,982.68,Critical
COTT_0020,10.26,2468.33,6775.87,581.38,8011.81,7694.46,31.73,197.86,Critical
COTT_0021,10.02,726.5,3112.93,456.93,7145.63,7098.24,46.73,430.05,Critical
COTT_0022,9.68,613.47,3811.73,1089.61,4547.65,5138.81,44.34,1432.48,Critical
COTT_0023,10.06,741.85,1732.76,1107.49,8402.51,9381.83,34.78,938.1,Critical
COTT_0024,10.45,1397.11,3717.72,1001.89,6852.19,5770.02,31.23,2256.53,Critical
COTT_0025,10.21,509.2,1753.68,897.15,3030.37,2667.95,38.97,1760.55,Critical
COTT_0026,10.3,724.27,3280.45,513.52,4952.4,5810.38,40.99,2138.14,Critical
COTT_0027,10.32,1068.31,1734.19,630.94,4591.21,4233.07,47.46,1043.43,Critical
COTT_0028,10.78,1131.14,3487.03,752.37,6461.42,6760.32,31.9,1833.89,Critical
COTT_0029,9.56,524.32,3113.68,459.4,8642.75,11036.48,46.3,988.38,Critical
COTT_0030,9.03,1428.32,2570.46,1169.99,8781.72,10770.82,33.89,1024.23,Critical
COTT_0031,10.7,816.92,1923.73,801.12,8616.93,9892.36,39.4,333.22,Critical
COTT_0032,10.23,1490.05,1850.21,766.5,8264.24,9672.34,41.94,1785.96,Critical
COTT_0033,9.72,793.59,3523.4,1029.1,8202.43,10307.34,38.23,1303.64,Critical
COTT_0034,10.6,1149.96,3254.92,1016.21,8340.03,8081.47,35.51,325.56,Critical
COTT_0035,10.16,535.94,2664.0,788.38,4719.25,5169.54,28.61,189.64,Critical
COTT_0036,10.65,860.19,1817.65,770.02,7619.96,6918.24,40.46,304.83,Critical
COTT_0037,9.1,1031.35,2851.59,873.69,7356.55,9474.69,38.33,875.1,Critical
COTT_0038,10.59,770.83,2597.43,370.61,3152.1,4038.86,44.72,1770.34,Moderate
COTT_0039,9.82,673.29,1891.09,525.22,6295.36,7285.61,41.2,771.84,Critical
COTT_0040,10.91,1237.9,2885.89,850.55,5517.6,5097.52,35.12,1918.83,Critical
COTT_0041,9.03,616.07,1615.01,336.66,8132.76,9367.55,37.48,334.8,Critical
COTT_0042,9.98,2069.46,3985.69,1556.81,5391.03,5972.86,40.7,208.73,Critical
COTT_0043,10.71,1158.69,1907.34,363.51,6854.52,5574.48,39.72,2356.55,Critical
COTT_0044,10.15,888.17,3108.22,712.43,6273.7,7972.19,35.72,2406.86,Critical
COTT_0045,10.81,695.79,1673.4,390.7,3109.33,2634.29,41.66,270.85,Moderate
COTT_0046,9.64,1344.88,1558.18,1033.02,4691.13,4030.07,41.93,1609.46,Critical
COTT_0047,10.75,1235.07,3508.7,553.83,4064.64,4777.2,44.14,2477.21,Critical
COTT_0048,9.83,872.02,3441.03,606.72,8584.54,10552.17,36.58,1902.09,Critical
COTT_0049,10.51,603.12,3756.38,754.73,7958.74,7640.59,45.91,1034.08,Critical
COTT_0050,9.02,1405.38,1728.22,587.38,8700.37,11095.61,39.47,1616.41,Critical
COTT_0051,9.9,793.21,2321.66,905.27,7514.25,8985.46,43.79,318.89,Critical
COTT_0052,9.99,557.56,2873.82,697.38,8326.23,8121.88,30.34,443.18,Critical
COTT_0053,10.52,1118.22,1752.81,375.7,7205.81,6026.81,44.44,1794.98,Critical
COTT_0054,9.16,584.84,3966.6,636.84,5223.85,6302.05,46.94,2466.4,Critical
COTT_0055,10.51,876.26,1708.75,999.43,6350.43,6427.34,46.13,366.87,Critical
COTT_0056,9.99,511.35,2671.65,350.67,3712.91,3188.51,40.98,1890.51,Moderate
COTT_0057,10.17,1462.17,2437.18,557.14,8211.59,7487.31,47.26,129.17,Critical
COTT_0058,10.94,543.16,3727.86,774.93,8957.79,7496.76,39.08,2426.33,Critical
COTT_0059,10.05,1129.4,3239.37,709.09,6765.35,7388.83,46.02,209.07,Critical
COTT_0060,9.56,1450.41,3725.66,710.09,6720.8,6308.75,31.76,1212.88,Critical
COTT_0061,9.71,1083.66,1694.34,1176.96,8917.26,10246.65,38.72,842.87,Critical
COTT_0062,10.63,1184.73,1906.54,1119.83,7935.22,10116.61,42.51,1572.2,Critical
COTT_0063,9.84,1432.73,3665.16,340.7,3158.2,3121.03,44.21,2469.46,Critical
COTT_0064,9.3,1094.13,2452.23,1172.92,8052.71,9817.58,37.37,1095.57,Critical
COTT_0065,9.55,556.38,3661.81,1031.61,8998.31,11682.67,39.11,1945.57,Critical
COTT_0066,10.89,1349.65,2118.37,705.49,3774.96,4820.72,40.12,648.74,Critical
COTT_0067,10.34,1118.13,2395.41,402.2,7029.44,7452.29,43.45,1348.39,Critical
COTT_0068,10.7,2318.49,7054.03,1981.36,5420.9,4699.96,28.58,1912.33,Critical
COTT_0069,9.27,514.54,2376.47,830.93,5353.46,5453.77,46.08,935.81,Critical
COTT_0070,10.03,1283.65,2491.36,859.88,8174.18,10420.12,30.94,2323.81,Critical
COTT_0071,9.98,758.24,2647.84,1182.03,5955.71,5743.54,40.67,676.35,Critical
COTT_0072,9.15,628.88,1820.11,436.71,3832.96,4294.59,31.64,929.6,Moderate
COTT_0073,10.79,973.96,3168.89,455.09,4153.73,3407.86,31.38,768.62,Critical
COTT_0074,9.35,588.7,1801.59,714.7,4238.0,4162.29,38.07,1756.95,Critical
COTT_0075,9.08,1299.41,3069.75,373.58,8241.47,10387.85,29.22,764.51,Critical
COTT_0076,10.61,1248.26,1961.3,488.41,5222.83,5443.55,40.37,985.39,Critical
COTT_0077,9.93,1247.47,1591.71,527.19,7280.1,9082.68,38.23,1377.07,Critical
COTT_0078,9.21,947.41,2831.54,518.22,4615.46,4563.04,28.4,872.99,Critical
COTT_0079,9.42,827.5,1799.41,1101.47,6561.55,7477.22,43.78,1296.26,Critical
COTT_0080,9.17,1037.11,2967.1,970.9,5589.96,4828.55,33.68,971.4,Critical
COTT_0081,10.29,1070.78,2390.24,1187.86,6634.65,6094.68,30.04,466.86,Critical
COTT_0082,9.49,660.68,1966.42,556.59,4040.24,5043.77,29.6,1358.83,Critical
COTT_0083,9.82,1482.38,1780.1,658.07,8816.82,10868.97,44.34,718.97,Critical
COTT_0084,9.34,1168.64,3823.44,801.09,6429.68,6043.83,43.39,548.9,Critical
COTT_0085,9.65,925.44,2769.03,518.17,3689.02,4077.51,33.77,1494.97,Moderate
COTT_0086,9.31,981.14,2831.47,346.64,5019.63,4353.06,29.27,2475.9,Critical
COTT_0087,9.64,1309.87,2136.6,913.35,7561.37,8301.02,37.43,1088.42,Critical
COTT_0088,9.7,1429.53,3576.55,1168.52,3745.78,4365.46,46.77,534.96,Critical
COTT_0089,9.13,1241.12,2936.18,1057.65,3838.63,4597.27,32.03,492.77,Critical
COTT_0090,9.33,2467.37,6827.95,1691.06,5152.98,6382.48,35.85,2059.84,Critical
COTT_0091,9.6,1247.61,2756.8,508.99,8397.45,8329.81,38.87,2275.53,Critical
COTT_0092,10.25,616.9,3849.58,864.94,5009.43,4356.38,43.88,1588.17,Critical
COTT_0093,10.07,1393.89,3471.49,436.51,4870.33,4501.38,42.88,180.48,Critical
COTT_0094,10.14,1262.46,3691.91,607.87,7927.54,6780.55,44.93,405.97,Critical
COTT_0095,9.79,1297.3,1874.79,506.33,7333.52,8507.02,40.82,1765.48,Critical
COTT_0096,10.09,751.8,2364.24,463.44,8450.7,9225.59,36.02,1208.81,Critical
COTT_0097,10.89,653.35,2965.57,755.3,6668.73,5395.37,45.44,2337.08,Critical
COTT_0098,10.13,1196.65,3806.25,936.51,3915.23,4260.33,40.13,1117.91,Critical
COTT_0099,10.47,1434.37,3813.92,705.76,3679.43,4755.37,44.78,399.19,Critical
COTT_0100,10.84,1369.9,2797.1,832.15,5394.02,4462.91,34.7,2026.85,Critical
COTT_0101,9.01,1437.46,5435.84,1707.33,8519.13,8290.59,34.94,1870.0,Critical
COTT_0102,9.28,676.39,2745.92,677.03,8489.08,8329.46,39.61,1617.43,Critical
COTT_0103,9.03,1163.54,1945.09,1164.96,3891.98,3920.44,29.71,2492.5,Critical
COTT_0104,10.0,1095.39,1667.69,974.96,4259.43,5320.14,32.1,557.65,Critical
COTT_0105,9.07,972.07,2912.1,359.14,7653.17,7857.08,38.49,1157.83,Critical
COTT_0106,9.8,1059.64,1888.1,463.74,8170.71,10401.79,35.47,749.79,Critical
COTT_0107,10.29,908.73,1563.47,440.54,7295.83,8240.36,28.54,632.73,Critical
COTT_0108,9.46,1171.89,1549.28,393.7,7799.5,6935.88,41.05,671.64,Critical
COTT_0109,9.2,743.17,3305.67,1070.13,7981.32,7970.08,41.36,591.96,Critical
COTT_0110,9.59,1396.34,1532.5,376.96,4247.32,3454.2,31.63,1499.3,Critical
COTT_0111,9.84,1392.67,3543.61,607.64,4556.54,4510.27,39.81,743.35,Critical
COTT_0112,10.25,909.41,2880.12,692.51,4766.79,6073.97,43.27,436.27,Critical
COTT_0113,10.74,987.43,3736.38,1019.87,5551.28,4503.39,33.37,1399.92,Critical
COTT_0114,10.27,757.89,1848.39,1051.44,8906.41,9466.13,31.43,753.54,Critical
COTT_0115,9.04,1414.3,1794.38,818.86,4644.33,5002.36,41.03,2091.38,Critical
COTT_0116,9.41,511.0,1842.21,1110.02,8243.34,9057.01,40.01,1696.09,Critical
COTT_0117,9.35,1414.41,2546.93,644.82,6113.51,5034.37,31.33,1871.28,Critical
COTT_0118,9.17,1103.15,2113.37,650.37,4732.16,4627.28,42.38,813.09,Critical
COTT_0119,10.13,976.05,3159.18,1143.15,7395.43,6711.13,28.62,729.43,Critical
COTT_0120,10.19,551.43,2740.92,837.16,5005.46,5933.75,30.13,280.33,Critical
COTT_0121,10.46,995.49,3221.01,691.34,4478.41,5416.87,43.99,1767.27,Critical
COTT_0122,9.54,1090.23,2402.43,382.42,8503.88,7384.85,47.0,1170.41,Critical
COTT_0123,9.37,1041.9,3682.36,959.0,7839.37,8853.72,41.85,2138.07,Critical
COTT_0124,9.5,989.42,2053.02,1188.9,8664.36,7102.29,42.11,2320.6,Critical
COTT_0125,9.36,2108.36,11049.42,923.25,7184.52,6815.77,46.49,2430.54,Critical
COTT_0126,10.69,819.1,3572.29,333.31,6577.62,6018.55,30.41,284.69,Critical
COTT_0127,10.39,2003.91,8077.23,869.71,4891.74,5232.92,43.81,865.01,Critical
COTT_0128,9.47,524.4,3675.25,319.14,8248.21,8779.96,46.78,2017.08,Critical
COTT_0129,11.0,850.71,3417.97,661.74,5879.25,6548.03,45.47,2461.8,Critical
COTT_0130,10.54,917.77,2553.39,963.82,4432.66,3790.98,35.09,789.37,Critical
COTT_0131,9.59,733.61,1605.23,316.09,8926.33,9050.29,35.69,1731.15,Critical
COTT_0132,9.44,1449.96,3465.86,380.47,5505.48,6824.37,46.89,1221.76,Critical
COTT_0133,10.23,667.03,3977.92,508.5,8656.39,9736.91,40.15,1330.45,Critical
COTT_0134,9.46,676.53,2051.22,467.79,7677.51,7486.05,29.16,2425.85,Critical
COTT_0135,10.77,1427.75,3987.27,456.51,5377.45,6340.65,41.92,469.35,Critical
COTT_0136,10.63,724.44,2059.54,783.28,6557.64,7148.11,29.83,2205.91,Critical
