Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Conductivity (uS/cm),Temperature (°C),Color (Pt-Co),Status
SYNT_0001,8.01,1092.45,2859.95,331.87,6906.18,7851.77,44.94,878.39,Critical
SYNT_0002,8.85,1919.17,8481.57,1283.25,5089.12,5163.07,33.52,1944.6,Critical
SYNT_0003,8.75,997.66,3265.5,288.96,3089.38,3407.58,44.99,207.99,Critical
SYNT_0004,8.97,673.05,4174.85,853.76,3993.87,4124.34,28.27,295.84,Critical
SYNT_0005,8.02,654.71,13884.3,1494.8,4966.65,4407.03,33.92,1693.18,Critical
SYNT_0006,8.65,851.14,4250.97,295.11,2904.45,3196.22,34.82,2301.44,Critical
SYNT_0007,8.31,514.63,5001.52,440.68,4864.62,5589.04,46.01,2001.26,Critical
SYNT_0008,8.85,943.71,5810.74,442.29,2505.0,2344.62,32.36,1688.4,Critical
SYNT_0009,8.77,874.77,2556.85,723.71,3955.89,4480.16,39.13,922.55,Moderate
SYNT_0010,7.77,475.54,5410.31,846.96,5424.05,4619.76,36.04,1849.45,Critical
SYNT_0011,9.06,494.57,2500.11,712.89,4104.68,3806.03,28.26,1396.72,Critical
SYNT_0012,9.2,1166.11,4480.11,584.4,2882.75,3097.33,35.6,1557.12,Critical
SYNT_0013,8.28,592.24,2832.38,454.7,2934.9,2607.51,47.75,1165.85,Moderate
SYNT_0014,8.56,1098.89,5984.49,628.76,6156.13,5931.25,34.11,1066.49,Critical
SYNT_0015,8.85,945.75,3603.34,336.59,5345.78,4619.62,39.57,1764.21,Critical
SYNT_0016,8.9,1002.78,5555.01,574.97,5786.12,6420.2,31.73,161.66,Critical
SYNT_0017,8.07,754.43,4659.87,802.47,3383.11,2918.86,47.27,359.31,Critical
SYNT_0018,8.46,868.45,4394.81,305.92,2756.62,2350.68,39.71,1406.43,Critical
SYNT_0019,7.97,2182.65,12998.43,752.11,4741.58,5427.47,33.05,838.65,Critical
SYNT_0020,8.67,984.18,3776.88,666.63,4597.82,4114.9,42.03,1435.52,Critical
SYNT_0021,8.22,1129.07,2573.27,455.25,2755.97,3261.04,42.04,895.25,Critical
SYNT_0022,8.85,716.75,5146.89,545.22,4355.26,5519.7,33.02,389.07,Critical
SYNT_0023,8.67,1175.46,3822.44,290.32,4026.87,4240.16,31.24,1679.45,Critical
SYNT_0024,9.5,761.39,3741.55,510.46,3018.16,3747.46,36.3,1029.46,Critical
SYNT_0025,8.82,753.63,4768.82,289.94,6161.76,7826.99,40.98,2390.96,Critical
SYNT_0026,7.8,781.93,4606.32,628.13,4306.58,4173.26,30.54,1040.18,Critical
SYNT_0027,7.83,987.49,3230.91,288.07,4985.65,5472.32,45.44,1484.76,Critical
SYNT_0028,8.19,1042.41,4390.98,301.53,5046.33,6328.14,35.93,811.18,Critical
SYNT_0029,7.79,823.53,11010.95,1411.54,2862.77,3635.1,43.1,1507.9,Critical
SYNT_0030,8.76,1062.92,5242.14,430.1,6733.96,5805.84,45.5,2430.26,Critical
SYNT_0031,7.85,977.65,2641.0,513.52,4823.27,5258.92,46.72,1713.4,Critical
SYNT_0032,8.46,1047.74,5826.86,264.34,6921.35,5835.16,44.29,772.8,Critical
SYNT_0033,7.76,751.88,4753.85,497.62,2745.54,3019.35,46.05,1019.72,Critical
SYNT_0034,7.93,754.06,2669.27,783.32,6218.53,6803.07,35.06,2019.48,Critical
SYNT_0035,8.61,1060.75,4710.11,759.86,5193.53,5230.25,47.16,1398.67,Critical
SYNT_0036,8.71,576.39,4689.78,621.54,3331.77,2764.68,40.09,1932.86,Critical
SYNT_0037,8.55,581.42,4832.83,302.07,4488.25,3957.22,31.69,585.51,Critical
SYNT_0038,8.27,440.92,3892.28,582.61,4674.82,4634.58,44.78,448.78,Critical
SYNT_0039,8.51,449.63,2749.04,623.01,5047.08,6253.42,39.16,2403.5,Critical
SYNT_0040,7.6,478.41,2654.23,370.43,4935.72,5541.76,28.91,2370.33,Critical
SYNT_0041,9.18,637.29,2770.16,360.43,3071.25,2646.32,38.37,690.03,Moderate
SYNT_0042,8.22,1191.6,4895.1,866.84,3141.5,3113.45,39.09,284.22,Critical
SYNT_0043,7.51,936.35,4746.37,517.01,4703.4,4739.72,28.48,904.89,Critical
SYNT_0044,7.85,803.82,9623.44,1724.48,5778.95,5534.4,35.86,668.62,Critical
SYNT_0045,8.86,837.54,4162.81,849.58,2827.31,2658.52,35.0,1977.82,Critical
SYNT_0046,9.49,592.54,5560.08,789.9,3510.96,3509.79,36.19,2447.73,Critical
SYNT_0047,7.86,1039.33,3669.67,725.07,4390.05,4781.55,44.65,2030.0,Critical
SYNT_0048,9.23,447.69,4922.18,340.99,4371.18,4695.93,36.05,1347.07,Critical
SYNT_0049,9.49,508.17,4864.1,507.4,3098.54,2724.76,46.99,2211.04,Critical
SYNT_0050,9.31,1193.23,3229.1,481.04,5511.49,5742.43,36.37,958.75,Critical
SYNT_0051,8.69,860.47,3065.1,556.63,4990.62,5415.54,32.2,1881.45,Critical
SYNT_0052,7.55,683.87,5230.74,616.53,3675.23,4217.24,39.35,2010.98,Critical
SYNT_0053,8.97,888.09,4208.62,336.57,3676.0,3711.1,39.99,1332.9,Critical
SYNT_0054,8.08,405.17,4236.84,435.66,5805.74,4714.1,39.7,2359.54,Critical
SYNT_0055,7.85,777.32,2819.98,656.69,4977.39,4995.72,38.43,2251.78,Critical
SYNT_0056,7.89,418.05,5515.83,625.13,6507.96,7148.82,44.2,1131.22,Critical
SYNT_0057,9.0,1130.43,4502.43,367.51,3709.59,3336.12,32.94,835.4,Critical
SYNT_0058,8.61,870.39,3992.75,650.02,2867.09,2419.52,31.44,1343.39,Critical
SYNT_0059,7.93,626.63,3901.09,777.71,2562.38,2881.88,41.38,2016.77,Critical
SYNT_0060,9.37,416.11,3038.24,826.01,4563.33,4938.87,41.26,1729.76,Critical
SYNT_0061,9.36,1197.56,5020.55,436.69,6458.89,5326.07,32.62,2253.73,Critical
SYNT_0062,8.01,576.52,2983.44,808.42,4750.26,5403.17,32.78,1919.3,Critical
SYNT_0063,9.02,650.08,3937.39,386.3,6894.52,7741.18,46.69,828.13,Critical
SYNT_0064,9.06,1012.69,4920.79,877.67,4271.0,3695.95,41.43,1850.34,Critical
SYNT_0065,8.65,565.45,4265.6,452.92,4423.6,4965.97,42.9,657.34,Critical
SYNT_0066,8.31,615.33,3195.21,759.2,6591.64,6493.53,43.03,2252.79,Critical
SYNT_0067,9.19,546.25,5847.02,494.84,4026.58,3346.96,37.72,361.63,Critical
SYNT_0068,8.0,653.55,5330.89,819.07,3861.1,4746.64,45.14,1935.16,Critical
SYNT_0069,7.79,952.26,5807.58,693.65,3992.28,4193.05,40.91,1325.37,Critical
SYNT_0070,7.74,649.65,5308.39,809.92,3117.85,3978.98,34.58,1689.55,Critical
SYNT_0071,9.0,1049.56,5810.12,453.4,6363.28,5509.6,42.1,1880.75,Critical
SYNT_0072,8.86,601.85,5555.65,359.76,2741.36,3176.5,37.51,2137.84,Critical
SYNT_0073,8.27,534.62,5427.55,606.79,3351.38,3888.24,38.22,1550.35,Critical
SYNT_0074,8.42,1062.97,5403.47,711.1,2974.31,3626.95,41.42,1772.86,Critical
SYNT_0075,8.23,1103.42,5038.8,323.18,4335.0,5389.23,28.94,2407.4,Critical
SYNT_0076,8.86,905.1,3446.96,411.71,6739.26,6396.48,43.51,1043.49,Critical
SYNT_0077,7.78,408.57,4404.9,884.26,4161.11,4072.05,34.88,1349.31,Critical
SYNT_0078,8.38,1103.93,4269.32,580.04,3122.67,4032.52,33.0,276.07,Critical
SYNT_0079,8.83,876.29,3953.01,524.42,6032.79,5416.58,44.41,1656.99,Critical
SYNT_0080,8.34,766.42,3398.27,738.87,4807.94,4617.68,39.92,2489.76,Critical
SYNT_0081,8.37,1136.55,3707.56,285.58,3419.09,3451.05,32.39,100.54,Critical
SYNT_0082,9.33,1075.1,5098.02,359.08,3041.64,2536.13,42.48,2329.14,Critical
SYNT_0083,8.36,495.31,4293.37,476.74,4186.71,4650.03,42.37,365.45,Critical
SYNT_0084,7.57,1195.46,3314.55,284.99,3354.44,2748.89,35.84,2025.76,Critical
SYNT_0085,8.18,755.35,4864.55,580.78,6376.51,7862.35,28.2,1967.31,Critical
SYNT_0086,8.42,1191.07,4191.31,891.48,5895.56,5449.28,38.77,2481.13,Critical
SYNT_0087,9.22,477.89,4972.3,474.63,2531.42,2535.83,32.7,2065.29,Critical
SYNT_0088,8.17,1062.02,2502.09,450.08,3585.24,3286.89,29.36,549.1,Critical
SYNT_0089,8.61,633.09,3960.88,494.96,6441.57,8069.03,37.86,892.37,Critical
SYNT_0090,7.71,2482.3,4564.28,747.59,3841.3,3688.42,31.29,1979.59,Critical
SYNT_0091,7.64,1127.54,3165.45,783.81,4950.84,4153.4,47.11,692.71,Critical
SYNT_0092,9.22,535.05,5488.8,258.6,4803.01,5690.23,46.7,2282.09,Critical
SYNT_0093,9.14,1110.55,3197.27,434.72,3800.36,3756.76,35.87,1406.93,Critical
SYNT_0094,7.82,953.0,3086.48,451.7,4765.05,5709.58,42.79,1649.28,Critical
SYNT_0095,7.81,837.64,2806.06,495.29,4360.82,3575.46,33.48,2393.56,Critical
SYNT_0096,9.41,681.86,2650.85,366.41,4264.98,5433.11,30.82,1932.44,Critical
SYNT_0097,7.72,1185.01,3835.66,753.9,4041.66,4501.74,31.84,450.45,Critical
SYNT_0098,9.38,1134.12,5606.14,656.53,6137.21,5121.62,34.7,852.89,Critical
SYNT_0099,8.77,1232.52,5605.37,1571.42,6164.73,6109.63,30.65,572.05,Critical
SYNT_0100,8.7,956.86,3768.76,785.6,3418.39,3536.39,44.02,532.38,Critical
SYNT_0101,7.72,1106.95,3700.25,694.52,2614.07,2993.17,34.32,233.78,Critical
SYNT_0102,8.72,592.64,3853.83,302.38,3162.23,3000.92,29.8,2285.98,Critical
SYNT_0103,7.51,787.09,2931.37,449.99,6667.27,5872.85,47.32,593.91,Critical
SYNT_0104,8.98,837.34,5595.68,610.1,4905.52,4403.83,31.32,2299.57,Critical
SYNT_0105,8.16,697.67,5159.38,470.24,6784.28,7930.58,39.95,2214.15,Critical
SYNT_0106,7.6,605.65,4127.63,397.54,5847.57,7365.62,36.48,921.12,Critical
SYNT_0107,9.42,755.88,4211.67,478.57,6592.97,7149.93,43.24,2048.34,Critical
SYNT_0108,8.18,746.96,5469.65,486.12,6072.71,7715.35,40.46,1879.91,Critical
SYNT_0109,9.11,1076.03,3882.69,283.32,4308.44,4898.17,37.01,1897.51,Critical
SYNT_0110,8.21,907.8,3152.47,737.09,4955.63,4470.14,33.84,1896.66,Critical
SYNT_0111,8.47,572.83,5885.45,714.83,6807.11,6899.36,37.5,2255.09,Critical
SYNT_0112,8.55,965.82,3382.61,540.37,3055.52,2759.1,28.02,194.24,Critical
SYNT_0113,9.45,593.88,4821.59,795.41,4977.97,4363.55,42.56,1540.6,Critical
SYNT_0114,8.96,1015.8,5913.94,622.82,4037.39,4538.96,29.37,2253.75,Critical
SYNT_0115,7.74,662.27,5355.11,638.25,4271.36,4428.2,45.09,916.01,Critical
SYNT_0116,9.24,470.51,5218.79,800.91,3318.18,3368.53,31.31,1795.85,Critical
SYNT_0117,8.57,908.26,3187.7,387.63,2686.74,2582.05,39.19,2159.04,Critical
SYNT_0118,8.83,748.32,5835.92,717.51,6685.74,7112.25,33.18,226.78,Critical
SYNT_0119,8.95,497.04,3559.71,596.11,5039.87,5545.33,31.33,1011.37,Critical
SYNT_0120,8.73,1175.86,5046.71,849.69,5929.95,6498.39,31.84,1700.05,Critical
SYNT_0121,8.75,881.98,4214.25,593.63,4004.99,4243.91,31.95,2032.42,Critical
SYNT_0122,7.87,467.97,4026.86,677.9,4469.73,4194.29,39.16,932.81,Critical
