Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Conductivity (uS/cm),Temperature (°C),Color (Pt-Co),Status
TEXT_0001,9.19,2894.08,5612.15,522.27,5377.15,5482.52,43.74,2316.34,Critical
TEXT_0002,8.32,1630.35,10475.36,1551.39,4820.93,5500.67,34.75,1015.67,Critical
TEXT_0003,8.62,3333.87,9402.92,1368.83,3186.54,2886.94,38.64,523.73,Critical
TEXT_0004,8.4,1870.8,10540.73,1388.92,4355.15,3877.85,40.94,2482.69,Critical
TEXT_0005,8.37,1282.28,5121.06,852.4,3283.14,3961.19,44.9,720.69,Critical
TEXT_0006,7.72,1743.37,11358.68,1052.91,5124.55,5164.22,40.62,1026.05,Critical
TEXT_0007,7.75,2659.3,9137.43,822.88,3097.39,3048.72,36.3,1608.84,Critical
TEXT_0008,9.01,1283.23,6705.63,713.09,4509.18,4576.14,42.58,681.8,Critical
TEXT_0009,8.31,3232.87,11374.74,1554.66,5593.04,7008.05,32.69,574.19,Critical
TEXT_0010,7.01,2825.74,11562.27,705.63,5047.77,5922.19,46.55,1652.46,Critical
TEXT_0011,9.13,1992.75,7449.5,1097.31,4034.01,3230.08,42.64,1904.12,Critical
TEXT_0012,8.64,1993.55,8656.03,895.97,2564.15,2772.42,30.48,292.1,Critical
TEXT_0013,8.66,1221.86,11713.06,1066.78,6432.07,5332.18,39.67,938.38,Critical
TEXT_0014,8.86,2030.81,6823.41,1443.31,3998.61,3232.54,35.81,1670.85,Critical
TEXT_0015,7.56,2193.57,5397.01,1146.9,5525.18,5561.96,36.4,311.88,Critical
TEXT_0016,7.44,1555.75,8371.81,1082.18,6295.76,5267.13,40.0,1363.6,Critical
TEXT_0017,8.14,3208.27,6438.77,544.85,5189.09,5046.8,28.35,703.3,Critical
TEXT_0018,7.68,2618.73,6208.1,954.36,4429.9,4561.11,47.48,209.21,Critical
TEXT_0019,9.09,2538.46,10570.09,973.43,4315.35,5349.58,45.92,672.85,Critical
TEXT_0020,7.44,2341.34,11301.94,854.59,5108.06,5895.09,43.57,1453.42,Critical
TEXT_0021,7.89,3424.14,9279.32,1301.42,3879.93,4403.62,33.16,688.23,Critical
TEXT_0022,8.57,2399.21,9782.94,796.38,4894.89,5002.42,39.94,798.11,Critical
TEXT_0023,8.57,3053.64,6819.42,830.68,5144.62,5904.96,42.08,1738.48,Critical
TEXT_0024,7.86,2108.16,6783.72,672.52,5270.31,4461.81,46.76,2084.05,Critical
TEXT_0025,8.89,3285.34,7860.23,1431.37,3132.25,2539.69,43.7,279.51,Critical
TEXT_0026,9.17,2752.03,10274.15,770.38,5195.46,4268.64,44.76,507.1,Critical
TEXT_0027,8.53,1716.31,5479.17,1029.64,3177.14,3700.48,32.75,921.93,Critical
TEXT_0028,8.25,1855.43,7645.92,1397.18,3216.84,2705.69,34.57,1118.5,Critical
TEXT_0029,8.19,2056.57,10529.38,543.25,4227.07,4189.57,40.95,2419.06,Critical
TEXT_0030,8.12,3469.82,7115.75,533.95,3162.65,3154.94,34.33,332.93,Critical
