Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Conductivity (uS/cm),Temperature (°C),Color (Pt-Co),Status
WOOL_0001,7.91,2208.24,3001.21,839.63,4800.85,5922.7,32.67,1968.09,Critical
WOOL_0002,7.83,3927.26,4868.03,1449.61,2190.61,2186.5,47.28,1393.55,Critical
WOOL_0003,7.29,1800.68,6517.64,1409.34,3121.82,3981.79,28.44,828.94,Critical
WOOL_0004,8.37,2302.34,4261.26,1287.64,4471.41,3807.73,46.86,2008.17,Critical
WOOL_0005,7.11,3280.02,4924.79,1142.52,4349.87,5573.89,30.53,1109.51,Critical
WOOL_0006,7.62,2440.78,4815.95,757.5,4056.62,4130.07,31.9,2058.48,Critical
WOOL_0007,8.16,2715.98,4492.25,1401.9,2864.46,2629.59,42.61,196.78,Critical
WOOL_0008,6.96,1516.97,3764.72,775.89,4987.41,4710.13,30.99,678.39,Critical
WOOL_0009,8.39,2800.4,4824.09,1660.73,3184.97,3081.47,32.15,1006.71,Critical
WOOL_0010,7.34,3193.26,4447.91,1334.92,2197.68,1968.34,36.15,2348.68,Critical
WOOL_0011,7.44,3160.19,4275.44,839.74,2175.61,2072.72,31.15,517.63,Critical
WOOL_0012,8.09,1539.6,5789.05,1117.41,3519.65,3806.2,34.27,808.26,Critical
WOOL_0013,8.05,3678.19,3962.91,807.38,4693.39,4575.81,39.03,962.9,Critical
WOOL_0014,7.01,6549.47,13063.06,2482.78,3355.61,4021.61,39.81,332.6,Critical
WOOL_0015,7.87,1881.65,6550.87,1445.08,2073.28,2085.46,34.66,1706.59,Critical
WOOL_0016,7.17,2977.18,7566.03,1577.58,4764.37,6142.48,28.21,1594.58,Critical
WOOL_0017,7.5,3649.64,4259.07,1779.13,3841.12,4596.93,29.71,540.3,Critical
WOOL_0018,8.09,1554.97,7084.39,715.34,3971.36,3902.05,40.23,1770.48,Critical
WOOL_0019,7.38,1769.91,3348.23,1347.83,3561.97,4171.42,38.19,1113.87,Critical
WOOL_0020,7.48,1566.12,4677.79,1773.62,4620.67,4457.51,39.76,2133.51,Critical
WOOL_0021,7.55,1544.89,3372.55,1261.43,4908.32,5627.9,29.42,554.47,Critical
WOOL_0022,8.11,3603.6,6088.47,1408.87,2085.01,2531.75,43.77,721.68,Critical
WOOL_0023,8.0,2037.14,3201.65,921.25,2535.89,2456.96,36.37,1320.49,Critical
WOOL_0024,7.61,2176.69,3145.85,1365.61,3187.23,3025.75,45.34,1892.18,Critical
WOOL_0025,8.26,2737.46,3654.66,1465.84,2618.22,2672.19,29.3,2080.74,Critical
WOOL_0026,7.01,3757.74,7321.15,1211.04,4233.1,4697.57,44.06,1136.33,Critical
WOOL_0027,8.14,5226.64,13635.21,3645.88,3387.86,4040.14,44.43,1430.77,Critical
WOOL_0028,8.08,3527.91,3164.13,1214.65,3939.86,4786.99,28.99,2145.85,Critical
WOOL_0029,7.73,1993.28,4586.28,1010.12,3592.58,2966.91,31.17,2050.46,Critical
